nama_tempat,review
Bakso sayur UB cab. Mergan,"Tempat nya bagus,luas,bersih,rasanya enak banget👍"
Bakso sayur UB cab. Mergan,"baksonya enak, murah dan pelayanannya sangat ramah🥰 …"
Bakso sayur UB cab. Mergan,"Penjual dan layanannya ramah, dijamin kembali saat mencoba pentol keju lumernya.. Mantab"
Bakso sayur UB cab. Mergan,"Enakk,dan porsi banyak dengan harga murce cocok untuk org yang berhemat,inovasi bakso baru"
Bakso sayur UB cab. Mergan,Pentol keju lumernya no debatt enak bgttt!!
Bakso sayur UB cab. Mergan,"Untuk rasa bakso lumayan enak. Tapi tolong kenyaman diperhatikan, lantainya agak kotor dan banyak tisu d bawah. Makan malam hari diputer lagu maaf yg agak kampungan, dangdut dengan volume keras. Serasa makan di hajatan 😔. …"
Bakso sayur UB cab. Mergan,"tempatnya bersih, baksonya enak cuman agak asin menurutku, pelayanannya cepet dan deket juga sama rumahku 😁"
Bakso sayur UB cab. Mergan,"Mantab. Harga kaki lima, rasa bintang lima.. makan langsung lahap......!!"
Bakso sayur UB cab. Mergan,"Pertama kali makan di sini sdh mengecewakan kasirnya judesss bangetttt...., baru pertama kali pake aplikasi kasir nunggu sampai stgh jam kuah bakso dr panas sampe dingin rasa baksonya jg B aja ngga ssi dgn slogannya 1 kg daging 1 ons tepung trus pesan minum bakso sdh hbs minumnya baru datang, pesan es jeruk nipis tp yg datang es air gula ngga worth it bangett  dan nyetel musik kencang dan jelas lagunya.TIDAk rekomendasi blass....msh banyak bakso di malang raya dgn pelayanan yg bagus....kapok deh cukup sekali ajaa!!!!!!"
Bakso sayur UB cab. Mergan,"Tempat nyaman, makanan enak, best deh pokoknya pelayanan juga ramah poll"
Bakso sayur UB cab. Mergan,"kasir judes
kuah kurang panas
pesan es teh lama banget sampe selesai makan gk keluar2 padahal g begitu rame
saran aja ada yg jaga distan deket rombong soalnya baksonya byk macamnya gk ada namanya kita bingung pas ditanya dikasir bakso apa"
Bakso sayur UB cab. Mergan,Baksonya enaak sedep mantulll
Bakso sayur UB cab. Mergan,"rasa bakso sm kuahnya lumayan. tapi kuahnya ga panas cuma anget dikit aja jadi experience nya kurang dan bikin ga nikmat karena semuanya sayurnya mentah.
yang aku notice soal kebersihannya. lantai yg keramik kotor, apa mungkin aku pas dateng pas belum dibersihin ya? tempat duduk yang di paving lantainya juga kotor banget, banyak tisu dan sampah berserakan, padahal ada tempat sampahnya di situ. sendok garpunya juga masih basah banget dan bau sabun sedikit, mungkin bisa dilap dulu setelah dicuci.
kalo soal pelayanannya ramah banget, cuma mungkin uda mulai lelah jadi kurang fokus, minuman beberapa kali salah, dan pas ditanyain agak kurang tanggap jawabnya, tapi gapapa."
Bakso sayur UB cab. Mergan,"Bakso enak, relatif murah..
Kuah kurang nendang..
Free sayur dan mie bebas ambil..
Tempat sempit dengan pengunjung yang banyak..
Pembersihan area makan kurang..
Parkiran lumayan luas, tapi didepan ruko-ruko sebelahnya.."
Bakso sayur UB cab. Mergan,"Baksonya daging bgt.. Mantab, paling fav. Bakso mozanya... Lumer banget.. Recomend banget deh pokoknya. ,👍👍👌"
Bakso sayur UB cab. Mergan,"Baksonya enak, pelayanan cepat dan cekatan, tempat nyaman"
Bakso sayur UB cab. Mergan,"Makanan enak bakso nya luar biasa
Tapi meja nya terlalu pendek utk ukuran orang dewasa. Makan agak jadi nunduk"
Bakso sayur UB cab. Mergan,"staff pekerja sangat tidak profesional, sudah jelas kondisi meja sangat berdekatan dan banyak orang makan, akan tetapi membawa panci berisi kuah panas dari dalam keluar dengan kondisi lokasi sesempit itu dan akhirnya tumpah menumpahi konsumen yaitu saya yang mengakibatkan pungguh bagian belakang saya melepuh terkena kuah bakso panas.
Pemilik seharusnya memberikan arahan untuk pekerjanya dan di briefing kembali untuk sop di warungnya itu seperti apa, jualan asal rame tapi keselamatan konsumen diabaikan karena hal2 seperti ini.
Untung saja bukan anak saya yg tersiram kuah panas, kondisi dilokasi saya membawa 2 balita yg sama2 makan ditempat.
Sangat mengecewakan sekali !!!!"
Bakso sayur UB cab. Mergan,bakso nya enak bgt bgt bgttt cocok buat anak kos
Bakso sayur UB cab. Mergan,"Pertama kali coba Bakso Sayur UB, jujur nggak nyangka bakso bisa seenak ini tapi tetap berasa “sehat”. Kuahnya bening tapi gurih banget — bukan yang bikin eneg, malah nagih.
Yang bikin beda, di setiap suapan ada potongan sayur segar yang nyampur sama bakso-nya, jadi berasa ringan tapi tetap kenyang. 🌿
Pentolnua ndaging banget, menu prasmanan. Kamu bisa bebas ambil soun, dan sayur dengan bebas. Dan harganya ramah di kantong"
Bakso sayur UB cab. Mergan,Baksonya enak tempatnya nyaman
Bakso sayur UB cab. Mergan,"first impression makan di Bakso sayur ub cabang mergan sangatt memuaskan, dan pelayanan sangat recommended, pelayannya sangat ramah dan sopan."
Bakso sayur UB cab. Mergan,"Nikmat, bersih tempatnya, bebas ambil kuah dan mie sepuasnya, ngenyangin 🤩"
Bakso sayur UB cab. Mergan,"Karuan gak ramah, gak sabaran. Di tanya keju mana mozaa mana jawab ketus"
Bakso sayur UB cab. Mergan,"enak banget jujur, harus cobainn‼️🔥"
Bakso sayur UB cab. Mergan,"Bakso enak, sayur bebas ambil. Rame terus tempatnya"
Bakso sayur UB cab. Mergan,Baksonya enak banget dan kotornya enak poll
Bakso sayur UB cab. Mergan,Bakso enak pelayanan oke
Bakso sayur UB cab. Mergan,Di sini mantap pol lah rekomend wajib coba sih yang belum coba
Bakso sayur UB cab. Mergan,dagingnya kerasa banget. ini real bakso ya disini
Bakso sayur UB cab. Mergan,enak banget dan nyaman tempatnyaa
Bakso sayur UB cab. Mergan,menunya enak mantap
Bakso sayur UB cab. Mergan,Baksonya enak
Bakso sayur UB cab. Mergan,Tempatnya enak top
Bakso sayur UB cab. Mergan,Bakso sayur yg viral enak
Bakso sayur UB cab. Mergan,rasa sangat enak😋😋
Bakso sayur UB cab. Mergan,Enak sekali mantap
Bakso sayur UB cab. Mergan,mantap enak bangett
Bakso sayur UB cab. Mergan,tempat bersih
Bakso sayur UB cab. Mergan,tempatnya nyaman
Bakso sayur UB cab. Mergan,Bakso enak
Bakso sayur UB cab. Mergan,Best bakso !!!
Bakso sayur UB cab. Mergan,enak bangett
Bakso sayur UB cab. Mergan,Baik dan memuaskan
Bakso sayur UB cab. Mergan,Bersih enak
Bakso sayur UB cab. Mergan,Bakso ciamik
Bakso sayur UB cab. Mergan,best bakso
Bakso sayur UB cab. Mergan,Enakk 😍
Bakso sayur UB cab. Mergan,⭐⭐⭐⭐⭐
Bakso sayur UB cab. Mergan,mantabbb
Bakso sayur UB cab. Mergan,mantap
Bakso sayur UB cab. Mergan,mantapp
Bakso sayur UB cab. Mergan,enakkk
Bakso sayur UB cab. Mergan,Mantap
Bakso sayur UB cab. Mergan,"Biasa aja, saya ksitu sama istri. Dari Kepanjen mau ke Batu hujan2 mampir."
Bakso sayur UB cab. Mergan,"enakkk,murahh,bersihh,pelayanan nyaa baguss"
Bakso sayur UB cab. Mergan,baksonya enak banget ngaldu cocok diharga mahasiswa
Bakso sayur UB cab. Mergan,"enak, murah dan tentunya tempat nya strategis"
Bakso sayur UB cab. Mergan,segini cuma 10rebu mantap ✅
Bakso sayur UB cab. Mergan,Jajak pendapat yang bagus
Bakso sayur UB cab. Mergan,Uwenak poolllll
Bakso sayur UB cab. Mergan,TERBAIK
Bakso sayur UB cab. Mergan,Atas
Bakso sayur UB cab. Mergan,Bagus
Bakso sayur UB cab. Mergan,Enak
Bakso sayur UB cab. Mergan,Bagus sekali
Bakso Sayur UB Cab. Sigura-gura,"Murahhh, self service, menu direfil terus jdi gk smpek kehabisan..
Nicee.."
Bakso Sayur UB Cab. Sigura-gura,Rasanya masih kalah sama ramenya. Sangat cocok kalau lagi lapar.
Bakso Sayur UB Cab. Sigura-gura,Agak gak jelas untuk pilihan baksonya karena semua dicampur jadi satu di pancinya. Maunya cari keju aja tapi kesulitan carinya karena semuanya mirip walau sudah ada tandanya. Overall rasa oke kok yang keju aja ya. Kuahnya tipe yg light dan sayur e gratis ambil sebanyaknya bolehh
Bakso Sayur UB Cab. Sigura-gura,"Kesini penasaran sama bakso kejunya dan ternyata isian kejunya banyak meskipun gak muncrat, rasanya enak dan pentolnya berdaging"
