nama_tempat,username,rating,review
Nasi Tempong Mbok Nah,Daphney,4,"nasi tempongnya enak sekali dengan lauk tambahan yang melimpah, sampe bingung makannya gimana karena saking banyaknya. aku juga pesan es temulawak dan nyobain untuk pertama kalinya dalam hidup, ternyata enak sekalii. yang perlu diperbaiki dari rumah makan ini servicenya yang lumayan lama, kebetulan pas aku datang lagi refill lauk lagi jadi lumayan nunggu 10 menitan sebelum dilayani. selain itu, di meja makannya lumayan banyak semut berkeliaran yang cukup membuat nafsu makan berkurang. tapi untungnya ada sambal yang bikin nafsu makan meningkat lagi karena sambalnya pedas sekali."
Nasi Tempong Mbok Nah,Yohana Tarigan,5,"porsinya banyak banget. nasi, tahu, tempe, bakwan jagung, ikan asin, sayur rebus bayam, toge, kol, sambel tempong yang menurut saya kurang pedes, dan sepertinya sambelnya itu sambel matang. tambah lauk cumi, ayam goreng, telor dadar 2 porsi, minum teh anget, total 52rb saja. layak untuk dicoba."
Nasi Tempong Mbok Nah,Ika Izatul,4,uwww enak sambalnya pedasss bener bener nonjok. selama di banyuwangi kesana 2 kali. pertama malam hari antrian ga banyak dan lancar. kedua siang hari jam makan siang very crowded. rekomen udang gorengnya mantapp
Nasi Tempong Mbok Nah,HiroShima's Mommy,5,"lokasi strategis di tepi jalan raya utama, bersih dan pelayannya juga resik rajin membersihkan sisa yg selesai makan, lantai jg disapu. ibu2 yg melayani saat pilih menu orgnya ramah dlm menjelaskan pilihan menunya dan wkt makan jg ditanya enak ga, harganya murah bgt sih kemarin saya makan 2 porsi, 1 pakai lauk cumi ireng dan 1nya pakai telur dadar, kerupuk 2, es jeruk, es teh manis, dgn porsi lengkap itu cuma 43rb. minusnya justru menurut saya di sambel tempongnya yg kurang pedas. overall ok, thanks semoga laris manis terus ya!"
Nasi Tempong Mbok Nah,Ardian Nugroho,5,"nyampai banyuwangi langsung melipir ke sini buat nyobain makanan khasnya. lauknya banyak sekali pilihannya. ada ayam goreng, ati, dan masih banyak lagi. sambalnya agak pedas buat yang ga terbiasa makan sambal ya. tadi makan berdua habis 50 ribu."
Nasi Tempong Mbok Nah,Vivi Andrika,5,"paketan nasi tempongnya lengkap sekali nasi, lauk, gorengan tempe, tahu dan bakwan jagung lalapan dan sambal. pakai nasi separo aja udah kenyang banget. lauk-lauknya gurih dan pedas dari sambalnya masih sangat bisa dinikmati gak over pedes gitu rasanya. kalau ke banyuwangi wajib mampir ke sini! tapi kudu sabar ya karena di sini rame sekali"
Nasi Tempong Mbok Nah,Recta Olivia Umboro,4,"suasana kaki lima yang dijamin bikin kangen dan pengen balik lagi. harganya ramah di kantong dengan cita rasa banyuwangi yang gk kaleng2. yang bikin beda tuh sambelnya.porsi nasi yg segambreng dengan lalapan bikin gk sadarkan diri buat nyuap lagi2 dan lagi smpe tau2 habis dipirinh juara lah pokoknya.selalu rame, tapi pelayanannya cepat.jd gk perlu nunggu lama2."
Nasi Tempong Mbok Nah,wahyuning sulistioningsih,5,"abis nyebrang dr pelabuhan gilimanuk mampir sini sebelum ke penginapan. lihat review di tiktok katanya enak. langsung deh cobain di kota asalnya bwi, ternyata bener2 enak, sambal nya manis tp pedes nampol gitu. makan berdua, lauk ayam, telur, hati dan udang. esteh kerupuk cuma 55rb aja murah pollllll"
Nasi Tempong Mbok Nah,Joker Flower,4,"nasi tempongnya murah cuma sambelnya asin banget tapi juga pedes. enggak tau kenapa sambelnya kayak gitu sambelnya melimpah banget sih udangnya juga enak telur juga oke es teh jumbo dan murah tapi nasinya gak habis karena sambelnya asin banget tapi pedes nasi tempong isinya nasi, sayur, ikan asin, tahu tempe, dan sambel nasi tempong 8kporsi udang goreng tepung 13kporsi telur 3kporsi es teh 3kporsi makan sesuai foto hanya keluar 51k, murah sih segitu banyaknya enak tapi sedikit kecewa sambelnya mungkin kalo balik bwi gak bakal kesini lagi pernah iseng makan sambelan tempong random di pinggir jalan banyuwangi sambelnya enggak asin kok dan enak sebenarnya"
Nasi Tempong Mbok Nah,alviona putri,5,wajib banget mampir kesini nyobain tempong murce tapi rasanya enak poll! bakal ngerekomendasiin temen temenku buat datang kesini sih kalo pas main ke banyuwangi
