nama_tempat,username,rating,review
SURYA KOPITIAM,Ly,4,mampir disalah satu kopitiam yang vibesnya lumayan bisa buat nongkrong santai menu favorit ku roti toastnya yang juara crispy outside soft inside perfect pairing sama teh tariknya mie laksanya lumayan buat yang lagi pengen makan kalau nasi lemaknya kurang sih ya overall a nice spot to chill with friends and just relax
SURYA KOPITIAM,wiwin setiabudi,5,sy suka kopi hitam nya mantap cocok dengan selera saya bbener ga boong aku. suasana nya juga enak. ok pokok nya
SURYA KOPITIAM,FARID BAJURI,5,"kopitiam terenak sebanyuwangi. harga tiap menunga terjangkau. minumannya enak. makanannya juga enak. penyajiannya juga cepat walaupun sedang dalam keadaan ramai. rekomendasi camilan adalah roti butter, siomay dan pisang goreng"
SURYA KOPITIAM,agung falah,2,"pelayannya kurang ramah , sofa tempat duduk di dalam ditempati crew sehingga pelanggan enggan mau duduk disana . tempat nya asyik sebenernya , minuman nya semua oke . tapi kemarin pas pesan pisang goreng tepung nya masih belum mateng . semoga kedepan bisa lebih baik lagi"
SURYA KOPITIAM,Aprilia Diliana,4,cocok buat kumpul kumpul sama temen yang cuap cuap bukan temen yang mau ngobrolin kerjaan. rame banget guys dan sering full. untuk kopinya aku kurang suka dan makanannya menurutku b aja. dengan harga yang relatif lumayan mahal
SURYA KOPITIAM,steven suman,4,jus jeruk enak. kopi susu mantap. duduk outdoor juga enak.
SURYA KOPITIAM,Bagas Satya,5,"datang sekitar jam 9 pagi. awal datang, disuguhkan dengan tempat meja dan kursi di area taman yang cukup teduh dan tertata rapi. masuk ke dalam cafe untuk memesan, terlihat bersih dan meja juga tertata rapi. saya memesan roti paratha asin dan teh tarik. -roti paratha asin sangat enak disajikan dengan saus seperti karigulai. rate 4,55 -teh tarik cukup terasa tehnya, terasa creamy. disajikan dengan cup plastik. menurut saya lebih bagus lagi jika disajikan dengan gelas, lebih oke menurut saya. rate 45"
SURYA KOPITIAM,Sanjivani Bulandari Radji,5,"suasananya enak dibuat nongkrong sama temen, teh tarik dan es coklatnya enak bangeeeet, mie banglanya juga medok banget, kalo laksa kurang suka. overall recommended dibuat nongkrong sampe tengah malem. hehehe"
SURYA KOPITIAM,Aditya Sakti,4,"interior keren bertema retro menu banyak dan beragam, dari mulai kopi, teh, wedang, makanan berat, camilan semua ada rasa lumayan enak harga terjangkau tempat luas, ada outdoor dan indoor - pelayanan bisa ditingkatkan lagi. pesan nasi lemak harus menunggu 40 menit baru datang"
SURYA KOPITIAM,fiqih ardiansyah,4,"asik , nyaman dan selalu ramai, langganan anak muda banyuwangi"
SURYA KOPITIAM,Lensy Avita,4,"cocok buat nongkrong sama temen maupun sama pasangan. buat kopi susu o juga lumayan kalo pesen yang less sugar juga lumayan enak juga. oiya jangan lupa pesen french fries nya menurutku enak sih. tempatnya juga cozy, ada indoor maupun outdoor nya. buat nongkrong siang maupun malam juga cocok."
SURYA KOPITIAM,Ryan,5,"surya kopitiam, tempat minum kopi kekinian di banyuwangi, tempat nongkrong anak muda, ramai saat malam hari. ada ruangan indoor dan outdoor, menu kopi yang ditawarkan mengikuti menu kopitiam kopitiam di malaysia dan singapore. suasana tempatnya vintage klasik, cocok buat menghabiskan malam bersama teman atau orang yang disenangi."
SURYA KOPITIAM,Lukas Hartanto,5,"satu lagi cafe yang meramaikan perkulineran di banyuwangi kota. surya kopitiam. letaknya sebelah selatan sego mbok judes. cafe ini sepertinya sama dengan cafe tokokopisumberrejeki . kopinya enak. nyobain siomay juga enak. tentunya bisa sebagai tempat gibah. bisa dicoba suryakopitiam , jl mendut gg 5 no.7 banyuwangi 07.00 sd 22.00"
SURYA KOPITIAM,Irnisa Yunus,5,"suka banget sama tempat ini yg pertama bukanya pagi, jm 7 udah buka jd yg pingin ngopi pagi sarapan bakal cuss lgsg ksini. yg kedua, tempatnya nyaman banget. bakal jd langganan ini bisa² tiap pagi ksini meski sekedar ngopi"
SURYA KOPITIAM,Oke Sip,4,tempat cocok untuk kumpul kumpul nasi goreng agak asin selera masing masing roti panggang rotinya agak seret lainnya oke dan mantap
SURYA KOPITIAM,mainmakanmengantuk,4,"untuk kopi susu o terlalu encer menurutku. buat pecinta kopi pasti suka dengan es kosunya karena pahit dan asamnya pas. suasana tempatnya asik, di rumah tua gitu. ada indoor dan outdoor seating-nya. untuk harga masih reasonable, 1 eskosu rp12.000"
