nama_tempat,username,rating,review
WIZZMIE Banyuwangi,Aulia Mika,5,"makanannya enak semua, pelayanan ramah dan cepat, tempatnya luas indoor dan outdoor, tersedia playground bermain anak, dan tempatnya bersih udah berkali-kali ke tempat ini ga ada bosennya. semoga tetap konsisten dalam memberikan pelayanan konsumen"
WIZZMIE Banyuwangi,Ela Nuraini,4,"awalnya sempet ragu mau nyobain wizz mie, tapi karna lihat tempatnya luas dan bagus jadi yakin buat nuobain wkwk porsi mienya lumayan banyak dan dpt 2 pangsit yng lumayan besar. bisa pesen sesuai leves kepedasan yg diinginkan. rasanya ga cuma pedes aja. asin, gurih, manisnya masih kerasa. sipp side dishnya buanyaaakk. jadi pengen nyobaik semuaaa. sushinya ada lebih dari 3 jenis dan ukurannya jg besar pilihan dimsumnya juga banyaakk banget. jadi pengen nyobain semuanya wkwk gelatonya sih definisi the best gelato in town! nyobain yang rasa strawberry bener² kerasa banget strawberrynya. suasananya nyaman dan adem tempatnya bener² luas. cuma yang bagian belakang, alangkah baiknya meja kursi jangan di depan goilet pas yaa parkirnya juga luass banget tapi bagian kanan mungkin lbh baik ditanami pohon biar ga panas² banget huhu oh ya, alangkah lbh baik kalo sistem antriannya pake barcode di masing² meja, jadi antriannya bisa di meja masing² sambil duduk. overall good job wizzme!"
WIZZMIE Banyuwangi,Alya Salsabila,5,"biasanya aku cuma order wizzmie lewat gojek krn aku tipe yg mls antriagak jauh jg dr rumah, tapi kali ini pas bgt pulang kuliah penasaran pengen cobain langsung ke tempatnya. ternyata suasananya enak jugatempatnya bersih, modern, dan open kitchen gitu, bisa lihat mereka masak langsung. mienya tetep seenak biasanya. aku pesen yang level 3, pas banget buat yang suka pedes tapi gak mau tersiksa pelayanannya juga ramah dan cepet kebetulan mbakasirnya tmn sndiri, jadi aku minta tempat yg sejuk. harganya masih oke, gak beda jauh sama yang di aplikasi."
WIZZMIE Banyuwangi,Dwi Widianto,1,"kasir ga jelas, banyak ngobrol sendiri sama temannya dan binggung sendiri. order makanan sampai berkali2 ngmngmya, soalnya suara music di store nya kenceng banget. order level 1 malah bolak balik di tanya balik sama kasirnya level 4 ? level 5? padahal uda bilang 1 wkekw. saking kencengnya lagu. order sendiri malah di suruhdikira sama orang lain, untuk masalah tempat duduk juga membinggungkan. kalau sudah di kasih nomer meja biasanya kan bisa pilih meja sesuai keinginan kita, ini dikasih nomer meja tapi disuruh duduk meja yg sama dengan nomernya. lah terus nomer meja portable nuat apa?? kalau emang gitu sistemnya harusnya di info di kasir bahwa nanti kakaknya duduk disini nomer ini. harusnya begitu. bukan sudah duduk malah di suruh pindah karna nomer salah. untuk makanannya oke mie nya, minumnya oke. tapi sushinya anyep, dingin banget. sarannya perlu di training lagi pegawai bagian kasir karna itu yg utama."
WIZZMIE Banyuwangi,Caramel Love,4,"beberapa kali kesini, beberapa kali juga rasa mienya berubah. paling suka sama udang kejunya. harga termasuk murah ya. untuk tempat duduk dikasih nomer menyesuaikan berapa orang kita datang"
WIZZMIE Banyuwangi,Maha Nanta,5,"mampir kesini pas malam minggu ternyata ramai sekali wkwkw. udah harganya yang terjangkau, enak, pelayanannya cepat, dan menunya juga variatif, ada varian mie, rice bowl, aneka sushi, dimsum, dan gelato. untuk ketersediaan tempat duduk juga banyak meskipun hanya di lantai 1 saja."
WIZZMIE Banyuwangi,Roni Dwi Cahyo,2,"untuk lokasi wizzmie cukup mudah dijangkau, berada di pusat kota, parkiran luas dan banyak tempat, tapi sayangnya meja cukup sempit dan kecil, dan antriannya cukup panjang dikarenakan staff pemesanan sangat lelet tidak cekatan, entah kenapa wizzmie tidak melakukan ide barcode di meja sehingga customer bisa memesan secara instan mandiri sperti hal gerai mie sebelah yg sdh bisa pesan instan mandiri di meja, saya sangat kecewa dengan antrian yg sangat panjang dan krodit kami mengantri d bagian pemesan mie sekitar 20mnit berdiri tanpa duduk, setelah itu antri di bagian gelato 20menit berdiri kembali tanpa duduk bayangkan setengah jam lebih hanya untuk berdiri memesan menu belum lagi menunggu makanan ready sungguh kacau pelayanan staff yg sangat lelet dan tidak cekatan, entah kenapa dibagian ini banyak staff perempuan ditempatkan tidak ada satupun laki-laki dibagian depan pelayananan tak hanya itu utk pemilihan meja kursi ditentukan oleh staffnya kami bertiga dikasi meja kecil dan kursi hanya 2, sungguh sangat menyiksa meja dan kursi harus sesuai dengan papan yg kita bawa entah ini ide yg sangat diluar nalar semoga kedepan ada perubahan dan audit evaluasi yg signifikan utk pelayanannya kami sdh makan di berbagai restoran dan gerai makan di berbagai kota tetapi disini sy kira cukup banyak harus dibenahi kembali"
WIZZMIE Banyuwangi,N Ekawati,5,"tempat nya bagus, luas. terutama parkiran nya luas bgt. mie nya enak, tp gak tau knp lv1 nya pedes banget. kondimen2 lain nya juga enak, minuman nya enak, gelato nya standar aja sih. pelayanan lumayan cepet"
WIZZMIE Banyuwangi,Mikha Setiyawati,4,"parkir cukup luas, cuman saat beli masih antri. harusnya bisa lebih cepat dgn penambahan kasir. mie mirip gacoan, makanan lain lumayan, harga standard, es krim enak."
WIZZMIE Banyuwangi,nabilaa 1308,5,tempat yg bagus bersih nyaman parkir juga luas makanan minuman enak segar banyak pilihan menu udah yg ksekian kalinya bikin nagih luv dah poko e
