username,review,char_length,word_count,length_category,estimated_tokens
Ela Nuraini,"pertama kali nyobain bakso kondusif tekstur baksonya bukan yang ngurat dan kres, tapi tipe baso yang teksturnya empuk dan cenderung agak lembek terutama untuk baso jamur untuk rasanya, semua menunya cenderung hambar. untuk baso uratnya msh bisa ditoleransi lah, tapi untuk rasa baso jamurnya bener-bener hambar. rasa kuahbya kalo ga dikasih kecap saos sambel masih lumayan terasa, tapi kalau udh dicampur kecap kuah sambel jadi cenderung hambar dan perlu ditambahin garam dikit tersedia garam di meja . aneka macam gorengannya jg hambar ya ya mungkin ini tergantung selera sih, tapi bagi saya kurang cocok harga semua menu disini termasuk murah meriaaahhh makan berdua dan ta sebungkus cmn habis 50ribuan. pilihan menunya buanyaaakk, jenis basonya juga beragam. gorengannya banyak dan sistemnya self service ya jadi bisa ngeracik sendiri sesuai selera suasana tempatnya lumayan nyaman, ada ruangan berac juga. bisa pilih. cuma tempat parkirnya agak terbatas",957,144,501-1000,201.6
Verdinand Tampubolon,"saat searching pilihan makanan bakso di maps waktu di banyuwangi, ini adalah pilihan teratasnya, langsung gerak ke lokasi, ternyata di jalan yang agak kecil, bukan di jalan besar, mgkin kalau naik mobil agak susah mencari parkir, mesan baksonya dengan cara prasmanan, ambil mie nya kita sendri mau sebanyak apa, semuat mangkoknya saja, kami datang saat malam, jadi beberapa menu sudah pada habis, harga juga murah meriah,",421,66,301-500,92.39999999999999
Celeste Evans,"salah satu bakso yang enak di banyuwangi kota. modelnya prasmanan, pilih sendiri sesuai selera. ada pilihan kuah pedas juga.",124,19,101-200,26.599999999999998
Dans Setiawan,"bakso enak,layanan baik cm tempat duduk kurang,apalagi pas jm makan",67,10,51-100,14.0
Maria Evania Dewi,"kuah pedasnya, bikin kangen. disini setengah self service, jadi pas datang, ambil sendiri tuh condiments nya. bihun, daun bawang, gorengan, sendok garpu, dll, lalu dibantu ambilin bakso paket bakso yang di inginkan. dijual secara ala carte dan paketan. menu saya cantumkan di gambar. pentol jumbo nya rekomen kuahnya yang pedas ya! enak! ga cuma pedas aja, rasa kuahnya cukup kompleks. kalo saya prefer 34 kuah pedas 14 kuah ori, biar ga kepedesen aja. hehe . tp kalo yg kuat pedes sih josss aja full pedes. wajib coba sistemnya sekarang bayar dulu langsung ya setelah ambil2 pentol dll.",587,97,501-1000,135.79999999999998
pawiro ceprot,"bakso urat menurut saya semakin kecil. mohon untuk kecap dan saus di kasih penutup biar tidak terkontaminasi barang dari luar, kejadian malam lalu di ruang ac masih ada lalat, lalat hijau lagi. bagaimana kalau dia sudah bertelur di situ.",237,39,201-300,54.599999999999994
elok indrawati,"selalu langganan di sini. baksonya enak, prasmananan, bisa pilih kuah pedas atau kuah biasa. layanannya kurang menurut saya dan susah parkir kalo bawa mobil",156,24,101-200,33.599999999999994
Evania Natasyaa,"duh tolong yaa kalo misal ngasih pelayanan itu yg bener, kalo ngomong jangan ketus. masa ga pernah diajarin pelayanan yg bener sama owner nya. be mature kalian tu masih di kabupaten jawa yang seharusnya masih kental dengan etika sopan santun. masa kalah sama yg jakarta. ga masuk akal",284,48,201-300,67.19999999999999
Bumi,"baksonya enak, ambil mangkok dan gorengan sendiri untuk kuah dan bakso diambilkan harganya masih masuk dikantong, ada bapak parkirnya selalu rame si disini. untuk ruangan bagian dalam berac jadi enak ga gerah, rasanya enak baksonya banyak macamnya ada yang dadu juga kuah pedas dan ori, disini disediain jeruk nipis juga kalo yang suka makan bakso pake jeruk",358,57,301-500,79.8
ALBUM ALBERT,"pelayanan self service. sedia berbagai macam baso, urat ada, mercon ada, baso halus ada. kuahnya ada dua tipe, biasa dan pedas. makan malam-malam, anget anget joss kecuali yang jomblo tetap dingin abis makan.",208,33,201-300,46.199999999999996
