nama_tempat,username,rating,review
Bakso Sayur UB Cab. Sigura-gura,Irur TR,4,"Murahhh, self service, menu direfil terus jdi gk smpek kehabisan..
Nicee.."
Bakso Sayur UB Cab. Sigura-gura,Yolanda Bundafarel,5,Rasanya masih kalah sama ramenya. Sangat cocok kalau lagi lapar.
Bakso Sayur UB Cab. Sigura-gura,Amma Mamo (FOODYFLOODY),5,Agak gak jelas untuk pilihan baksonya karena semua dicampur jadi satu di pancinya. Maunya cari keju aja tapi kesulitan carinya karena semuanya mirip walau sudah ada tandanya. Overall rasa oke kok yang keju aja ya. Kuahnya tipe yg light dan sayur e gratis ambil sebanyaknya bolehh
Bakso Sayur UB Cab. Sigura-gura,Ika Sasmita,5,"Kesini penasaran sama bakso kejunya dan ternyata isian kejunya banyak meskipun gak muncrat, rasanya enak dan pentolnya berdaging"
Bakso Sayur UB Cab. Sigura-gura,Elmi Jayanti,4,"Enak sih, tpi bukan yg enak bangeet, free sayur dan free gajih bukan koyor ya beda, free parkir jga, tpi untuk parkir mobil kayaknya agak susah,
untuk tempat lumayan kotor sih ya, pelayanan ramah, tpi yg sdkit ngeganggu tuh meja makannya, meja sama kursi sejajar jdi kalo makan harus bungkuk jdi agak gak nyaman, coba kalo mejanya agak tinggian bakal lebih nyaman, ada tempat d lantai 2 lebih enak udaranya seger karna terbuka,untuk minumannya lumayan lah standart warung,
sama tempat sayur alasnya jangan pake kertas minyak atau kertas apalah itu,jdi kalo kena basah sayuran jadinya mrupul kertasnya ke tarik bareng sayurannya, jdi kertasnya nyampur sama sayur di mangkok,
sambel kurang pedes menurutku,overall lumayan lah ya,
Tpi balik lagi keselera masing2,
semoga sukses

Sayang gak foto macam2 baksonya karna antri ramee, jdi buru2 ambil dan lgsung naik buat makan"
Bakso Sayur UB Cab. Sigura-gura,Pratita nirma,5,"bakso nya enak bangeet, banyak variannya juga dan yang terpenting sayurnya full kita bisa ambil sepuasnya😍😍💯✅"
Bakso Sayur UB Cab. Sigura-gura,Indri Ramadhani,5,murah dan enak mbak nya baik
Bakso Sayur UB Cab. Sigura-gura,Naila Mutia Azwa,5,Makanannya enak dan bisa ambil sendiri. Mantap. Cobainn deh gaisss!!
Bakso Sayur UB Cab. Sigura-gura,AVRELIA KUSUMANINGSIH,5,"sukaa baksonya berdaging, sambelnya pedes.. mantep pelayanannya jugaa dannn tidak gratis parkirr"
Bakso Sayur UB Cab. Sigura-gura,NOVAN ALFERINO,5,Baksonya enak bangett. Pelayananya juga cepat dan murah. worth it banget
Bakso Sayur UB Cab. Sigura-gura,Muhammad miftahul arifin,5,"Mantaplah pokonya. Enak, ramah, dan worth it"
Bakso Sayur UB Cab. Sigura-gura,adib jauhari,3,Baksonya terlalu asin. Kuahnya kurang sedap.
Bakso Sayur UB Cab. Sigura-gura,Nurkhalifah Azzahra,5,"Bakso kejunya the besttt, selain itu bakso kasarnya kasar banget dan bakso halusnya halus banget. Suasanya makannya nyaman, dipinggir jalan dan dapat struk jadi untuk split bill aman🤩"
Bakso Sayur UB Cab. Sigura-gura,yessy alfitri,2,"udah 3 kali kesini tp pelayanan kureng bgt, tolong hormati orang yg ngambil bakso masa tiba” tutup nya bakso ditutup, dan biasakan juga melayani customer dg ramah mas, tolong diperbaiki"
Bakso Sayur UB Cab. Sigura-gura,Yessy Vika,5,manteppp pake pollll luv poll❤️‍🔥❤️‍🔥💞💗
Bakso Sayur UB Cab. Sigura-gura,rosyidatun nafiah,5,"harus cobain bakso sayur ub, karena beneran enak semuanya"
Bakso Sayur UB Cab. Sigura-gura,Dzul khilmi muzakki,5,"Mantap banget pelayanan ok, sangat recommend"
Bakso Sayur UB Cab. Sigura-gura,Adinda Netta,5,"enakk , mumer dan pas dikantong recomended sekali 👍🏻"
Bakso Sayur UB Cab. Sigura-gura,Rima,5,"Asli , enak banget iniii baksonya. Murah pwollll mana gratis sayur , mie , koyor. Beehhh sedekahnya gak main2 😍😍
Pelayanannya jg ramah pol, karyawannya ramah semua . Tempatnya jg nyaman dan bersih 🥰🥰

Lancar barokah untuk semuanya, sehat selalu dan tetap pertahankan pelayanannya 🫶🏻🫶🏻🫶🏻💯💯💯💯"
Bakso Sayur UB Cab. Sigura-gura,Nur Khasanah,5,"Kuahnya enak, tipe bening berkaldu. Bakso nya enak, dan bisa ambil sendiri ☺"
Bakso Sayur UB Cab. Sigura-gura,Tata Gata,5,"bakso paling favorite di malang, enak bgt"
Bakso Sayur UB Cab. Sigura-gura,Silvia Dwi,5,"enak, tempatnya luas, lemaknya endul bgt."
Bakso Sayur UB Cab. Sigura-gura,Arya Iant,5,Bakso nya mantap...
Bakso Sayur UB Cab. Sigura-gura,ManaMagi,1,"Makananya oke tapi sorry to say aku ga bakalan balik lg krn udh ad tukang parkirnya.
Bakso sebelah aja ga ada tukang parkir nya"
Bakso Sayur UB Cab. Sigura-gura,Mika Mich,5,Baksonya enak daging banget dan empuk enak
