nama_tempat,username,rating,review
Bakso Sayur UB Cab.Sukun,Arielll 4366,5,"enak banget dan tempat nya nyaman, bakso nya kerasa daging banget dan pelayanan nya ramah"
Bakso Sayur UB Cab.Sukun,Andri Ansah,5,"Tempatnya bersih luas dan nyaman, dan dan beneran bisa ambil koyor sepuasnya, pokoknya rekomend lah ✌🏻"
Bakso Sayur UB Cab.Sukun,Irul Hendra,5,"Nyoba bakso, rasanya enak sampai lupa difoto, aksesnya mudah di pinggir jalan, tempatnya luas, bisq untuk dicoba"
Bakso Sayur UB Cab.Sukun,Rani Ariefah,4,"Pertama kali kesini...
Karena tertarik dengan...bakso isiannya...ada daging ,keju,telur,dll ..
Tapi karena kita kesini nya terlalu malam sekitar jam setengah 10 an... jadi mungkin sudah banyak yg habis...jadi tinggal pentol alus kecil aja sama tahu (sesuai di foto).
Untuk harga standart pada umumnya ...untuk rasa pentol ga terlalu asin...lebih ke texture yang kenyel padet,kuah bening bukan yg butek kaya di bakso solo ya 🤭✌️...jadi rasanya ya biasa aja ...ga yang begitu ngaldu seperti bakso pada umumnya aja 😁✌️🙏..
Untuk pelayanan sistemnya prasmanan alias ngambil sendiri kecuali minumnya.
Untuk mie putih/kuning,,sayur gratis..bisa ambil sepuasnya ya... Kalo koyornya udah ga ada mungkin udah malem..
Lalu setelah ambil sendiri baksonya.. Klian harus bayar dulu ke kasir bisa cash maupun Qris ..
Untuk pelayanan gercep minumannya jg cepet sampe ke meja...
Cuma minusnya kenapa di setiap meja ga disediakan tisuu??(Kenapa harus ambil sndri ke kasir ?)

Parkiran cukup untuk motor ..tapi kalo yg bawa mobil kayae susah karena poros jalan banget ...

Ya ..smoga sukses selalu usahanya di berikan kelancaran rejeki...amin..

Yaudin gitu aja reviewnya 👌🙏"
Bakso Sayur UB Cab.Sukun,Randy Sahrizal,5,"bakso nya sedapp.. banyak varian isi nya,
free sayur, koyor, mie juga gratiss tiss tiss ambil sepuasnya.
minuman nya es jeruk perusnya mantap,, rekomended bangett"
Bakso Sayur UB Cab.Sukun,Alifa Nurfatwa Tsabita,5,"ga perlu diragukan lagiii, baso nya enakkkk harga terjangkau masuk kantong mahasiswa, sayuran+mie freee, tempat nya cabang sukun ini nyaman"
Bakso Sayur UB Cab.Sukun,Agnes Caesarika,5,"Bintang bukan sembarang bintang. Coba baca review ku!!

1. Parkiran sempit.
2. Mangkok dan piring yg katanya bersih nyatanya berminyak, cucinya ga bersih..
3. Tauge abis waktu itu
4. Goreng kembang dan horeng panjang rasanya ga enak. Kayaknya adonan weci yg dipake isian. Bukan adonan baso.
5. Mie kuning terlalu mblotong jd bikin kenyang.
Pentol isian dan pentol biasanya semua dalam keadaan dingin. Ga ada anget2 sama sekali. Jadi tergolong keras. Bakso keju moncrot?? Mustahill.. motong pentol pake sendok aja susah. Tidak sekenyal yg ada di reels reels influencer.
6. Kuah dingin ga panas jadinya eneq.
7. Tempatnya kotor"
Bakso Sayur UB Cab.Sukun,NUR ALFIYATUZ ZAHRO,5,"Baksonya enak, ada bakso isi keju, isi daging, dan isi telur. Sayurnya ambil sepuasnya. Kondimennya lengkap. Pelayanannya ramah. Recommended 👏🏻"
Bakso Sayur UB Cab.Sukun,chelsea graesya,5,"BAKSOOO TERENAKKKK REKOMEND BANGETTT SIIII BIKIN PENGEN TRS, PLUSS FREE SAYUR&MIE DAN BISAA DAPET GAJEE BANYAKKK😍😍🫶🏻🫶🏻"
Bakso Sayur UB Cab.Sukun,Adien Rizky,5,"Enak poll, bebas ambil koyor, sayur, mie sepuasnya, rekomen banget dehh🥰🥰"
Bakso Sayur UB Cab.Sukun,resty kartikasari,3,"Mbaknya kurang teliti ngitung kembalian untung ak hitung ulang,bagi yg pertama kali kesini mungkin agak bingung milih menu baksonya karena gak ada tandanya bakso telor,keju & urat, kasirnya aja ditanyain juga bingung 😄 milihnya pake insting aja. parkiran mobil terbatas banget"
Bakso Sayur UB Cab.Sukun,Sheila rhm,5,"Enak bangett deket rumahku di klayatan, tempatnya luas dan adem banget ada kipas angin. Menunya lengkap. Worth to buy. Wajib kesini ya warga sukun dan sekitarnya 😍"
Bakso Sayur UB Cab.Sukun,Arief Hermawan,5,"Mantap bangetttt
Gaperlu jauh2 lagi kalo mau bakso sayur"
Bakso Sayur UB Cab.Sukun,yuli adzkia,5,Tempatnya selalu rame karena murah dan enak rasanya
Bakso Sayur UB Cab.Sukun,Felisa Dwi Rosalia,5,"Tempatnya super bersih, dan beneran rasa baksonya daging bangett"
Bakso Sayur UB Cab.Sukun,Clarisa Priscilla Irmasani,5,"Kuahnya ngalduu enak bgt, suasananya juga nyaman gabegitu ramai 💯"
Bakso Sayur UB Cab.Sukun,Zahrotul Jannah,5,"Mantaappp, enakk bangett baksonya. Rekomen sekali 👍👍👍👍"
Bakso Sayur UB Cab.Sukun,A.R. Nadhifatul Annazhar,5,Gapernahh Bosann dan akhirnya buka di Sukun jadi gaperlu ke kota lagi hehe
Bakso Sayur UB Cab.Sukun,dina novita,1,"ketolong pentolnya masih enak oke lah, lainnya masih zonk. kedua kalinya ke bakso ini yang pertama di suhat, yang di sukun lebih parah ya. udah laper nungguin sendok sampe kuah bakso dingin. ditanyain ke pegawainya sendok tapi gada awarenessnya sama sekali. meja bersih cuma lantainya kotor banget, trus tempat makannya tolong ditata ulang. kek makan di gudang rasanya"
Bakso Sayur UB Cab.Sukun,Aura Regina,5,"Baksonya mantap, rasanya daging banget, prasmanan jadi bisa pilih sesuai keinginan"
Bakso Sayur UB Cab.Sukun,Imxa seijuro,5,"bakso nya besar besar dan ndaging banget, free refil sayur sama koyor jugaa, best pokonya"
Bakso Sayur UB Cab.Sukun,Icha Kurniawati,5,enakkk kuah nya kalduuu pentol keju nyaa jos
Bakso Sayur UB Cab.Sukun,Rico Putra Ariesandy,5,"Rasanya mantab, pentolnya enak banget"
Bakso Sayur UB Cab.Sukun,Hernita Salsabilla maharani,5,Baksonya enak dan murah. Makan sepuasnya.
Bakso Sayur UB Cab.Sukun,Rio dwip,5,"Baksonya mantaps, harga terjangkau"
Bakso Sayur UB Cab.Sukun,fadila hanin,5,"Akhirnya setelah sekian lama gak makan bakso sayur
Bukan Cabang lebih Deket
Rasanya tetep endulitaaa"
Bakso Sayur UB Cab.Sukun,Veny Alvionita,5,"karena benar""enak makanan dan suasana yg mendukung dan juga ramah dalam melayani"
