nama_tempat,username,rating,review
Bakso Sayur UB Cab. Tlogomas,Andi Ngusman,5,"Tempatnya mudah di temukan di pinggir jalan raya yang rame dan padat cenderung macet, dekat pertigaan jembatan Tunggulmas
Sebenarnya baksonya enak cuman rada asin banget bagi saya, tergantung lidah masing"" juga sih.
Untuk harga standar
Monggo di coba."
Bakso Sayur UB Cab. Tlogomas,128_Najmi qolby,5,"pelayanan sangat ramah, baik dan sopan sekali. untuk bakso nya mantap. sayur melimpah point plus nya"
Bakso Sayur UB Cab. Tlogomas,Mida Cahya,5,"Rasa kuahnya enak, ngaldu, pentolnya daging bgt. Harap sabar antri yh klo kesini karena ambil sendiri"
Bakso Sayur UB Cab. Tlogomas,Shelvira Gisty Rachmadanti,5,"Seneng bgt skrng udah ada cabang disini. Sayur, mie, kuah ambil sendiri sepuasnya. Baksonya ada banyak malemnya tinggal pilih. Pelayanannya ramah banget kokk soalnya aku sempet tanya² dan yg pasti cocok buat kantong mahasiswa"
Bakso Sayur UB Cab. Tlogomas,Nadia Pratiwi,5,"rasa enak, tempat lebih bersih daripada cabang Batu, dan dicabang ini lebih nyaman✨"
Bakso Sayur UB Cab. Tlogomas,Rahmania Aulia,5,Dengan harga terjangkau dan rasa yang nikmat kalian bisa cobain bakso dengan rasa yang ga main main mantep abissss jangan lupa mampir
Bakso Sayur UB Cab. Tlogomas,ANDIKA YOGA PRATAMA,5,Bakso e mantep jos jis mas mbak e ya ramah
Bakso Sayur UB Cab. Tlogomas,Tasya Salsabila,5,"Saya sangat suka bakso ini, dan sering makan di cabang suhat, skrang udah ada deket kos, happy bgt, harga dan porsi juga sesuai dengan kantong mahasiswa"
Bakso Sayur UB Cab. Tlogomas,Tsania Afifatuz Zuhriyah,5,UENAK BAKSONYAA 😍😍😍 mozzanya lumer bgt😋 cocok buat dimakan abis uprak hehehe
Bakso Sayur UB Cab. Tlogomas,Aling Arafah,5,"baksonya enak, tempatnya juga nyaman!🩷"
Bakso Sayur UB Cab. Tlogomas,eniiwe,5,"Baksonya enak, full daging, yang keju juga enak rasa kejunya.
Kuahnya sedap.
Bakal langganan nih."
Bakso Sayur UB Cab. Tlogomas,maulidia hilaili,3,"Terlalu asin, dan kecewa ternyata tidak selumer itu kejunya, saya dapat yg kosong gaada keju mozanya padahal sudah ambil yg bakso keju mozarella"
Bakso Sayur UB Cab. Tlogomas,michaelsurya Herijanto,5,"baksonya super ngedaging, karyawannya ramah ramah top pokoknya"
Bakso Sayur UB Cab. Tlogomas,Maria Ulfa,5,"Pengalaman pertama beli disini takeaway

Rasa baksonya enak, berasa daging. Kuahnya gurih sedep
Sayur dan mie ambil sendiri sepuasnya
Pilihan baksonya ngga banyak, ada bakso urat, halus, daging, puyuh, keju (melted), mozzarella, tahu, lontong dan variasi gorengan mekar dan panjang
Pelayanna cepat dan ramah. Meskipun tergolong kuliner baru tapi di setiap cabangnya selalu rame pengunjung

Oiya, fyi nama UB sendiri merupakan akronim dari Usaha Barokah
Buka sekitar mulai jam 10.30 wib"
Bakso Sayur UB Cab. Tlogomas,SALSABILA KHAIRUNNISA,5,"enak, dagingnya terasa"
Bakso Sayur UB Cab. Tlogomas,Della Zhafira,5,Enaaak daging bgttt kejunya lumer
Bakso Sayur UB Cab. Tlogomas,Ananda Tiyas Safina,4,"enak baksonya berurat bgt, suka bakso kejunya tapi kejunya kurang banyak, klo baso kejunya dibelah keju hanyut di kuah bakso  hehe"
Bakso Sayur UB Cab. Tlogomas,Ferdi Rahmansyah,5,"Mantaaaap bakso UB langganan istri dulu, free sayur,koyor dan mie ! Joss rasa bintang 5 harga kaki 5"
Bakso Sayur UB Cab. Tlogomas,shalma ip,5,Mantepp bakso terenak
Bakso Sayur UB Cab. Tlogomas,Ditha Noni,5,"Rasanya enak,cuma revisi goreng krg matang dikit krn agak keras kalo digigit 😄🙏🏻 untuk keseluruhan ok..tempatnya bersih dan strategis ☺️"
Bakso Sayur UB Cab. Tlogomas,DEVA_23.195,5,bakso enakk bgt di dekat umm 🫰🏼
Bakso Sayur UB Cab. Tlogomas,Bora Yip,2,"Gaada tulisan klo yg ready keju semua, mna banyak ngambilnya yg keju. Kureng si"
Bakso Sayur UB Cab. Tlogomas,dafa pirate,5,"bakso nya enak murah, tempat nyaman. pelayanan baik"
