nama_tempat,username,rating,review
Bakso Sayur UB Malang,Raka Mahendra S.,5,"Lagi nostalgia di jalan sigura gura nemu bakso ini, rame sekali, sekalian nyoba aja deh. Baksonya ambil prasmanan lalu nanti dihitung untuk pembayaranya. Berbagai bakso bisa dicoba, dari isian daging, mozarela, keju, telur dan lainya, terdapat tanda untuk membedakanya. Kuahnya seger dan baksonya oke. Tempatnya terbatas, jadi kalau penuh harus menunggu yang lain selesai. Untuk harga mungkin standart kota Malang walau area kampus. Untuk parkir mobil akan kesulitan, baiknya membawa motor saja karena diarea padat mahasiswa. Untuk parkir juga dibantu jasa parkir motor.
Overall Good."
Bakso Sayur UB Malang,Riri,4,"Mantap!! Kuah baksonya kerasa banget kaldunya, sedap walau dimakan beningan tanpa kecap/saus tomat/sambel. Isian baksonya juga enak-enak semua, pentol baksonya berdaging banget coy. Cuma minus gaada isian bakso siomay aja sih disini, jadi adanya beberapa varian isian bakso: pentol bakso, goreng mekar, goreng panjang, tahu gembos, soun, dan mie kuning. Ada lontong dan kerupuk kalo mau, bahkan mie lidi juga ada kalo mau ngemil haha.

Konsepnya self service jadi makanan ambil sendiri lalu bayar di kasir. Tempatnya cukup luas ada lantai 2 juga. Playlist lagu yang diputar juga up to date lagunya sangat enjoyable pas makan sambil dengerin lagu. Sempet ada lalat terbang pas makan, untung cuma 1 lalatnya.

Overall sooooo good, definitely will come back."
Bakso Sayur UB Malang,Master Killer,1,"KAK PENTOL KECILKU KOK CUMA DIKASIH 4 SE!!! AKU BELI 5 LO!!! Take away GAK DI KASIH SAOS, akhirnya beli sendiri 😭. Bakso moza yang 7000 se sendok makan. Gak di kasih sayur juga, pdhl namanya BAKSO SAYUR"
Bakso Sayur UB Malang,Mila Halimiyah,5,"Kuahnya enak sedep, ngga asin banget kaya bakso"" lain, suka sama pentol keju nya, tekstur dagingnya masih oke, gatau ya pentol kecil nya ko aga keras gitu, sayur sama mie bisa ambil sepuasnya, tempatnya ada 2 lantai"
Bakso Sayur UB Malang,Mutina Wahyudi,4,Bakso kasarnya enak tapi tidak terlalu kasar. Kuahnya juga enak. Bagi kalian pecinta kuah agak keruh (berbumbu) tempat makan ini cocok buat kalian 😇
Bakso Sayur UB Malang,adink odink,5,"Seperti halnya bakso sayur di malang, yang paling istimewa adalah boleh ambil sayur sepuasnya. Buat pemggemar sayur ini adalah surga makan bakso. Baksonya juga enak khususnya kuahnya seperti kuah bakso solo. Harga pasti murah. Tempatnya kurang nyaman untuk makan agak lama, karena sedikit kurang bersih dan cukup sempit. Ada lantai 2 tapi tidak cukup membantu juga"
Bakso Sayur UB Malang,Tasya Salsabila,5,"Aku sering makan di cabang yang suhat, dan selarang ada di deket kosan jadi happy bgt, ga perlu jauh2 ke suhat buat makan, dan temptnya gampang di akses karena ada di tepi jalan, harga dan porsi sesuai sama kantong mahasiswa"
Bakso Sayur UB Malang,eko prasetiyo hadi,4,Sebenarnya rasanya dan baksonya biasa saja.. Tapi ok lah.. Harga tidak mahal.
Bakso Sayur UB Malang,Ari Caprisia,5,"Ini beneran bakso sayur yg melimpaah sayuran dan mie nya. Suka banget sama varian baksonya. Cm utk yg varian isi keju kurang panas dikit biar meleleh asyik tuh kayaknya.
Sistem penjualan kita bener2 prasmanan, nanti baru ke kasir buat dihitung.
Yg bikin males kesini klo pas jam makan adalah antrinyaa.. puanjaaaangg. Tp worth it sih.
Lakonnya si bakso daging, keju leleh, mie, sayur, sama koyoorr!! Cm klo ush sore ga berharap banyak si koyor masih ada.. hikss..padahal itu dopping buat mamam baksonya lho. Varian tahu biasa aja krn cm tahu gembos goreng tanpa isian.
Kuahnya sip.. ga yg micin banget, bumbu terasa.
Harga masuk akal. Masih terjangkau banget.
Bakal jadi tempat ngebakso langganan banget dah."
Bakso Sayur UB Malang,Mlxyss,5,"kuah nya enak bgtttt, bakso kejunya apalagii harus cobain enak bgt plis wkwk"
