nama_tempat,username,rating,review
Bakso sayur UB cab. Mergan,Deflin Putra,5,"Tempat nya bagus,luas,bersih,rasanya enak banget👍"
Bakso sayur UB cab. Mergan,p17311235034 hardianty,5,"baksonya enak, murah dan pelayanannya sangat ramah🥰 …"
Bakso sayur UB cab. Mergan,Aqilla Farah Diba,5,"Penjual dan layanannya ramah, dijamin kembali saat mencoba pentol keju lumernya.. Mantab"
Bakso sayur UB cab. Mergan,Edo Prihatmoko,5,"Enakk,dan porsi banyak dengan harga murce cocok untuk org yang berhemat,inovasi bakso baru"
Bakso sayur UB cab. Mergan,Aldina Thania,5,Pentol keju lumernya no debatt enak bgttt!!
Bakso sayur UB cab. Mergan,Arrad Alaudin,3,"Untuk rasa bakso lumayan enak. Tapi tolong kenyaman diperhatikan, lantainya agak kotor dan banyak tisu d bawah. Makan malam hari diputer lagu maaf yg agak kampungan, dangdut dengan volume keras. Serasa makan di hajatan 😔. …"
Bakso sayur UB cab. Mergan,Rizky Wardani,4,"tempatnya bersih, baksonya enak cuman agak asin menurutku, pelayanannya cepet dan deket juga sama rumahku 😁"
Bakso sayur UB cab. Mergan,faskho irwan,5,"Mantab. Harga kaki lima, rasa bintang lima.. makan langsung lahap......!!"
Bakso sayur UB cab. Mergan,Dyanti Christian,1,"Pertama kali makan di sini sdh mengecewakan kasirnya judesss bangetttt...., baru pertama kali pake aplikasi kasir nunggu sampai stgh jam kuah bakso dr panas sampe dingin rasa baksonya jg B aja ngga ssi dgn slogannya 1 kg daging 1 ons tepung trus pesan minum bakso sdh hbs minumnya baru datang, pesan es jeruk nipis tp yg datang es air gula ngga worth it bangett  dan nyetel musik kencang dan jelas lagunya.TIDAk rekomendasi blass....msh banyak bakso di malang raya dgn pelayanan yg bagus....kapok deh cukup sekali ajaa!!!!!!"
Bakso sayur UB cab. Mergan,Zahra Aneira,5,"Tempat nyaman, makanan enak, best deh pokoknya pelayanan juga ramah poll"
Bakso sayur UB cab. Mergan,mb piscok,3,"kasir judes
kuah kurang panas
pesan es teh lama banget sampe selesai makan gk keluar2 padahal g begitu rame
saran aja ada yg jaga distan deket rombong soalnya baksonya byk macamnya gk ada namanya kita bingung pas ditanya dikasir bakso apa"
Bakso sayur UB cab. Mergan,Sri Lestari,5,Baksonya enaak sedep mantulll
Bakso sayur UB cab. Mergan,Galuh Ginanjar,3,"rasa bakso sm kuahnya lumayan. tapi kuahnya ga panas cuma anget dikit aja jadi experience nya kurang dan bikin ga nikmat karena semuanya sayurnya mentah.
yang aku notice soal kebersihannya. lantai yg keramik kotor, apa mungkin aku pas dateng pas belum dibersihin ya? tempat duduk yang di paving lantainya juga kotor banget, banyak tisu dan sampah berserakan, padahal ada tempat sampahnya di situ. sendok garpunya juga masih basah banget dan bau sabun sedikit, mungkin bisa dilap dulu setelah dicuci.
kalo soal pelayanannya ramah banget, cuma mungkin uda mulai lelah jadi kurang fokus, minuman beberapa kali salah, dan pas ditanyain agak kurang tanggap jawabnya, tapi gapapa."
Bakso sayur UB cab. Mergan,indra wijaya,5,"Bakso enak, relatif murah..
Kuah kurang nendang..
Free sayur dan mie bebas ambil..
Tempat sempit dengan pengunjung yang banyak..
Pembersihan area makan kurang..
Parkiran lumayan luas, tapi didepan ruko-ruko sebelahnya.."
Bakso sayur UB cab. Mergan,Una Uni,5,"Baksonya daging bgt.. Mantab, paling fav. Bakso mozanya... Lumer banget.. Recomend banget deh pokoknya. ,👍👍👌"
Bakso sayur UB cab. Mergan,cicik marini,5,"Baksonya enak, pelayanan cepat dan cekatan, tempat nyaman"
Bakso sayur UB cab. Mergan,Doni Irawan,5,"Makanan enak bakso nya luar biasa
Tapi meja nya terlalu pendek utk ukuran orang dewasa. Makan agak jadi nunduk"
