question,answer,score
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho adalah teks yang berisi hasil pengamatan terhadap suatu objek secara faktual,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,faktual objektif menggunakan bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,memberi informasi faktual kepada pembaca,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat yang lucu atau menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung kelucuan dan sindiran,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi orientasi krisis reaksi koda,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita lama yang berisi keajaiban dan unsur fantastis,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh sakti alur sederhana penuh keajaiban,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pendahuluan peristiwa penutup,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat mengajarkan keberanian dan kejujuran,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks lho adalah teks yg kita tulis dari melihat atau menonton suatu seperti hewan tumbuhan atau penjelasan secara rinci,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk menjelaskan suatu benda peristiwa,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot cerita singkat yg lucu menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor berdasarkan kejadian yang hampir nyata,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak krisis koda orientasi rekasi,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita klasik yg berisi tentang tokoh hebat biasanya banyak kejadian,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur fantastis bersifat turun temurun cerita berdasarkan kejadian,5
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh alur latar alamat,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral krisis sosial informasi penting pelajaran hidup yg ingin disampaikan si penulis,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan berisi fakta dan hasil pengamatan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,fakta teratur dan jelas bahasa baku,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,5
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,lucu kritik dan menyindir,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abraksi pembuka cerita orientasi mengenalkan situasi dan tokoh kritik masalah atau kejadian reaksi penyelesaian koda penutup pesan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,crita tradisional tentang tokoh luar biasah dengan unsur fantasi,0
