nama_tempat,username,rating,review
Ayam Geprek Kak Rose,amella Nuraf,1,"Pelayanan kurang g ada senyum2 nya terutama kasir , suruh nunggu ayamnya katanya masih nggoreng padahal pas disajikan ga panas cuma nasinya aja yg anget , minumnya juga suruh ngambil sendiri teh nya emang ada ya orang beli minumnya suruh racik ambil sendiri di tempat reffil an haha trs tempatnya sepi tapi sistemnya emang ambil sendiri semua gt ya ? Ga lagi deh"
Ayam Geprek Kak Rose,Shelomita Shakti Wijaningrum,1,"beli ga dikasih nota dan waktu penyajian sama masak gaada yang pakai masker sama sekali, semua karyawannya malah pada bercanda padahal ada supervisor tp tetep sama aja
dari awal gaada ngomong kalo ga boleh tambah nasi, ketika ditanya tetep kekeh ga bisa tambah nasi padahal di semua cabangnya bisa nambah nasi, attitude semua karyawannya kurang bgt
di lt.2 kotorrr samsek ga dibersihinn gatau sejak kapan, padahal bukanya 24jam tp ga layak banget"
Ayam Geprek Kak Rose,Azizah Zhaza,4,"nunggu 20 mnt , sambal asin bnget sama nasinya terlalu lemas
next semoga d perbarui yas"
Ayam Geprek Kak Rose,Farrel Putra Licardo,1,"1. Tempat kotor gak di bersihkan
2. Pelayanan Lama
3. Karyawan nya tidak sopan / Terlalu banyak bercanda
4. Ayam geprek nya dingin dan kecil
5. Ayam geprek tidak crispi (seperti gorengan kemaren )
6. Es batu habis"
Ayam Geprek Kak Rose,daniel deddy,1,"Tidak profesional dalam menangani pesanan online baik dari GRAB FOOD,GOJEK,SHOPEE FOOD selalu alasan aplikasi di HP tidak bunyi sedangkan karyawan duduk santai merokok dan ngopi didepan gerai
Tolong buat pengelola lebih ditingkatkan kasian bapak2 ojol nunggu lama 30menit lebih"
Ayam Geprek Kak Rose,Paijo Gundul,5,"Gak tau kenapa review dan ratingnya restoran ini parah banget. Saya beli online,,datang tepat waktu, rasanya juga tidak mengecewakan. Semoga pihak management bisa mengambil hikmah dari semua kritik dan melakukan perbaikan"
Ayam Geprek Kak Rose,putri rosa nadia,2,"minimal senyum!
untung mknan enak.
ke sn pas mati listrik ya mbok di kasih tau pelanggannya kalau nasinya DINGIN kena mati listrik. di kasih tau jg kalau maknan di ambil sendiri.
kotor tempatnya."
Ayam Geprek Kak Rose,Fani Fajarwati,1,"Ayam tidak hangat, parkir bayar, pelayanan kurang, fasilitas kur ag memadai , jangan berubha kalau tidak mau maju ini aym geprek di malang makij banyak, kasian aja dari dlu sama ini ayam kak rose, biar pada maju, malah masi saja, itu kasi yang hangat biar pada balik pelangganya o"
Ayam Geprek Kak Rose,Fitri Aulia,4,Yg g kusuka pas beli geprek ka ros itu bayar parkir padhl g sampe 5 menit
Ayam Geprek Kak Rose,game apa aja,1,mbaknya bilang nasi bisa refill pas ditanya malah gabisa pembohongan
Ayam Geprek Kak Rose,None,1,"1. Ayam ka rose terkecil, tahu juga gaada
2. Semua promo di take down, menu cuma ada di balik QR
3. Pelayanan nya ga oke banget, ayam nunggu lama kasir judes banget
4. Tempat kotor, sempet shock lihat tempat masak nya kotor parah ( yang mampir kesini harus intip dapur nya sebelum makan)
5. Buka 24 jam tapi staff banyak yg ga siap, fokus bercanda aja"
Ayam Geprek Kak Rose,tasyaaa,5,"andalan kalo uda bingung mau makan apa, mau jam berapa aja juga gass, udaa sesering itu makan geprek ini makan ditempat, di bawa pulang, makan di tempat kerja sama enaknya rasanya ga berubah mana harganya murah bgt 😭💓💓"
Ayam Geprek Kak Rose,Cinthia Maria,1,"Lamaa poll, harganya lebih mahal dari cab lain, biasanya 28 30 dicab sawojajar bisa smpk 45, mending ke lalapan aja kalo segitu, makan nasi geprek aja smpk 45 dgn menu yg aku beli samaa  kyk di cab lain, kata crew nya karna sambelnya pdhl sambelnya sambel pedes biasa krna bawangnya abis, free refil nasi tpi rice cookernya kosong, kalo mau ambil nasi di dapurnya suruh ambil sendiri sambil di sewotin yg ngasir, ampuuun dah"
Ayam Geprek Kak Rose,Fabian Abhirama,1,"Pesanan online nunggu driver datang katanya penjaga tokonya....buat apa ada pesanan online shopeefood KLO harus menunggu driver datang.
Tidak recomend buat cs yang tergesa gesa. Ubung ujungnya driver yang dsalahkan"
