nama_tempat,username,rating,review
Geprek Kak Rose,Ifa Kholifah,4,"Pelayanan cepat, beli yg paket gebyar 2 inc tax 38k, free refiil nasi, tempat biasa aja, sumuk ga ada kipas."
Geprek Kak Rose,Jophi Jophi,1,"KASIAN BANGET SE-RAME INI KARYAWAN NYA CUMA 2 ORANG. MANAJEMEN RUSAK. sambel dapatnya sangat banyak, cuma ¼ sendok 😊 …"
Geprek Kak Rose,Axel Chen,5,Nostalgia banget. Lama nda makan kok rasanya tetap enak. Nasi masih tetap bisa refill. Sekarang ada sayur crispy nya. Enak banget.
Geprek Kak Rose,Johny Andra,1,"Udah sering kesini tapi kenapa buat pelayanan pagi ini mengecewakan udah nunggu dikasir 10 menit, kasir sama staff gak kunjung datang untuk konfirmasi setelah datang bukannya melayani pelanggan dan konfirmasi pesanan malah closing tutup shift dulu dengan staff yang lain padahal harusnya bisa dibilang ke pelanggan yang menunggu terlebih dahulu, setelah itu masih belum bisa memesan karena ayam masih belum di goreng lah terus tadi kemana aja, saya dan customer lain bingung, mohon staffnya diperhatikan lagi cara melayani pelanggannya, ini buat jadi yang langganan bisa jadi pindah karena cara melayani staff seperti itu"
Geprek Kak Rose,Widya,5,"Pelayanan nya ramah dan cepat, untuk makanannya enak, ayamnya berasa bumbunya dan boleh refil nasi"
Geprek Kak Rose,Suria Ansyah,1,"Pelayanan lama sekali, nunggu sudah 30 menit. Kasihan driver online juga cari rejeki kejar order. Pelayan judes"
Geprek Kak Rose,alfi ni'matul khoiriyah,1,"Malam hari saya pesan 3 ayam geprek, setelah itu belum langsung pulang ke kos karena masih beli nasi goreng dan nunggunya lama banget, dan setelah sampai kos baru saya buka ternyata yang satu tidak ada ayamnya, hanya sambal dan tahu saja, kemudian saya langsung balik lagi kesana untuk konfirmasi tapi mbaknya kaya nggak percaya padahal memang benar2 nggak ada ayamnya, dan saya nggak bohong..
Tapi tetep ditambahin ayam kok sama mbaknya
Mungkin mbaknya nggak percaya karena saya belinya sudah lama tapi kok baru konfirmasi, ya wajar sih..
Perlakuan mbaknya pas waktu awal beli senyum manis tapi setelah kedua kali saya kesana ekspresinya jadi beda, senyum sih tapi kayak sinis gitu..
Kalau ada cctv nya, mungkin bisa dilihat mbaknya masukin ayamnya atau enggak
Positif thinking aja sih, mungkin mbaknya lagi capek ☺️"
Geprek Kak Rose,Kanti Naya,1,"TLG DI BACA, BUAT APA TULISAN SE GEDE INI
KATANYA FREE REFIL TEH TAPI SINI MAU AMBIL KOK DI SURUH BAYAR 2.500? TRUS NGAPAIN ADA TULISAN SE GEDE ITU KALOK DI SURUH BAYAR??????"
Geprek Kak Rose,Raskhy Fahlevi,5,"Asliii ramah banget pelayanannya, apalagi mba"" kasir yang berkerudung, saya kesana jam 8 malam, karena saya baru pertama kali nyobain geprek ka rose, mba""nya up selling dengan baik, sehingga saya jadi tidak kebingungan untuk milih menu, terima kasih mba, dan rasanya gak kalah sama yang lain, mantappp⭐"
Geprek Kak Rose,budi soto,4,"menurut saya untuk makanan, pelayanan bintang ramah, tapi sayang nya untuk parkirnya menurut saya agak kurang relevan, saya bungkus agar saya hemat untuk dikost, itupun bungkus nasi telor, dan ga berjalan lama malah ditarik parkir, emang sih 2k tapi kalo terus2 an juga kitanya ngerasa rugi, sebab ojol dll saja yang notabene nya sama sama bungkus knp tidak ditarik, mohon segera ditindak lanjuti, tanpa tukang parkir juga geprek kak rose menurut saya sudah kondusif.."
