nama_tempat,username,rating,review
Geprek Kak Rose 2,Febri Ana,1,"Tempat nya kotor
Bekas makanan orang yang habis makan gak cepet"" di ambilll sehingga orang mau duduk bingung karena semuanya ada piring kotornya

Terus banyak tikus berlalu lalang dan gak takut sama manusia

Ngelihat manusia itu kayak menjadi hal yang biasa dan bukan sebuah ancaman"
Geprek Kak Rose 2,Adji irwansyah,5,"makanannya enak+bisa refill, pelayanan nya ramah saat ingin tanya atau pas menyajikan, dan suasananya nyaman ada outdoor di lantai 2"
Geprek Kak Rose 2,hoki,5,"makanan nya enak bgt, nagihh!!
bisa refill nasi dan es teh, worth it abiez buat anak koss😋

tempat bersih nyaman, mas mbak nya juga ramah poll, full senyum🤙"
Geprek Kak Rose 2,Antonia Cornelisen,5,"Enak banget, harus cobain deh harganya juga affordable buat kantong mahasiswa🤗"
Geprek Kak Rose 2,Julian R,1,"Kok bisa sih ngebiarin org mabuk mabukan di depan restonya. Apakah takut? Atau sudah diingatin tpi ngebantah atau bagaimana? Anda yang punya kuasa tanah/lahan loh masa' takut sama tukang parkir yang cari duit disitu, polsek lowokwaru deket kok. mereka mengotori usahamu loh masa diem saja. Sorry gak nyaman makan di lokasi sob banyak jamet garis kerasnya berisik"
Geprek Kak Rose 2,salwa septiaandini,1,"Apa² an coba baru dateng langsung di usir
Pelayanan macam apa seperti itu gak sopan banget sama customer
Bilang juga ngegas
Mau beli aja pelayanan menjijik kan
Ngusir pula
Etitute ke customer (0)
Gak sudi kesitu lagi!!!!
TOLONG KASIH TAU KARYAWANMU ITU!!!"
Geprek Kak Rose 2,Ilmadhuha,5,Sambelnya mantapp 🔥. Rekomen buat makan ditempat karena bisa refil minum & nasi
Geprek Kak Rose 2,Ex,3,"Agak kecewa sih, beli menu curry saat pembelian tidak diberitahu kalau tidak bisa free refill nasi padahal ditempat lain bisa.

Minim customer juga seperti toko mati, ditambah hanya 2 karyawan yang bekerja."
Geprek Kak Rose 2,Yoshua Arjna_,1,"Mahal, 21k hanya dapat ayam doang udah gitu sambalnya mahal tapi rasanya b aja. pelayanannya nga bagus, hanya ada 1 orang yang jaga udah gitu stay mulu dibelakang, dipanggil nga denger parah"
Geprek Kak Rose 2,Amanda Azizah,5,"Makanannya enak, tempatnya nyaman, pelayanannya oke dan bisa refil minun atau nasi sepuasnya👍🏻"
Geprek Kak Rose 2,Grasella Silitonga,5,"Makanannya enak, harganya juga ramah di kantong pelajar 😄👌"
Geprek Kak Rose 2,Abdur Rohim,1,Di geprek kak rose emang gini ya nggak boleh beli ayam nya aja harus pakai nasi juga? Saya ngomong ke kasirnya pesenya ayam krispi aja nggak pake nasi tapi di kasih nasi
Geprek Kak Rose 2,wildan 776,1,dulu nasi prasmanan sama teh skrng udah engk tapi harga tetep segitu dan ayamnya tetep kecil taek mending tutupen aku mending tuku hisana 13 sek oleh dagingtok gapopo iki wes ayam e cilik sego e titik 16 ga wor it blas
Geprek Kak Rose 2,hasna,1,"kalo beli disini beli menu ayam, jangan telur soalnya lama banget pelayanannya. menu telur geprek di anak tirikan jir"
Geprek Kak Rose 2,Devi Gtw,5,"Baru pertama kali nyoba makan disini.
Untuk rasa cukup lumayan enak, harganya juga termasuk murah. Bisa ambil nasi, sambal, gule dan laos gitu sepuasnya.. Cuman di bagian pelayanan agak kurang sih menurut saya, padahal waktu itu pas kesana tidak terlalu ramai tapi pelayananya kurang ramah dan agak sedikit lama, mungkin karna masih ngurusin orderan online."
Geprek Kak Rose 2,Nc V,1,"Urutkan pesanan sesuai dengan kastamer yg order dulu,jangan driver yg datang duluan, pesanannya Uda masuk 20 menit an saya kesini,baru di printkan notanya, sementara estimasi di aplikasi sudah siap."
Geprek Kak Rose 2,Ashar Ramadhan,5,enak mantap sukses selalu geprek kak rose
Geprek Kak Rose 2,Daffa Muttaqin,5,"Kelebihan : Pelayanan baik beda sama geprek kak rose depan ub. Sambel banyak
Kekurangan : masih nunggu goreng dulu kira2 15.menit"
