nama_tempat,username,rating,review
Geprek Kak Rose Kalpataru,Erste Lazuardi,5,"awalnya aku underestimated sama bumbu hitamnya, tapi ternyata dimakan sama ayam geprek enak coy 😂 pelayanannya cepet, menunya sangat lidah indo friendly, kebetulan aku beli pas ada promo jadi makan minum berdua dapat segambreng cuma 60rb 👏🏻 sungkeemm"
Geprek Kak Rose Kalpataru,carissa klaire,5,"Ayam geprek yg nasinya ambil sendiri, es teh ambil sendiri, bumbu item ambil sendiri. Enak bgtt apalagi lagi pingin hemat tapi porsi banyak. Es tehnya juga bukan es teh yg ngawur asal buat tapi pake rasa blackcurrant gitu enakk. Ayamnya so pasti best juicy. Nasinya kualitasnya juga bagus. Wajib tambahin bumbu itemnya (meskipun ga terlalu item) tapi dia bikin nasinya makin berbumbu enakk gitu. Servicenya ya gitusih, sempet masnya lupa orderan tapi gapapa"
Geprek Kak Rose Kalpataru,Dionisius Daud,5,"Dateng pagi sekitar jam 9, pelayanannya bagus, makanannya jg fresh. Pegawai juga komunikatif dan sopan semua."
Geprek Kak Rose Kalpataru,Hit telur,5,"alamak sedapnyo!😋
10/10 Pelayanan ramah dan cepat, harga terjangkau, ayamnya besar, dan mantap dagingnya tidak kering👍
Sambel bawangnya punya rasa unik, bakal jadi favorit. ada sensasi manis dan gurih di awal baru rasa pedas menyerang kemudian.
Es tehnya ga tawar seperti di outlet geprek lain, tehnya bener ada rasa tehnya, manisnya juga pas.
Mantap👍😋"
Geprek Kak Rose Kalpataru,Agassi Gilang,5,"Seperti ayam geprek pada umumnya tapi kalau di Kak Rose ini aku paling suka sambal koreknya. Uenakk pedes banget dan sambelnya banyak, potongan ayamnya juga gede."
Geprek Kak Rose Kalpataru,Fawaz Fauzan,1,"pas mau order di liatin doang dengan gaenak, nengok ngeliatin lagi 2x, nunggu lumayan lama bukannya tanya atau bilang tunggu sebentar, karena rekan karyawannya lagi di luar pas dateng yang dari luar baru di layanin."
Geprek Kak Rose Kalpataru,Cece Zellytulus,1,Ini barusan saya Order shopeefood. Saya minta tanpa TAHU. Sudah sy tulis catatan di 3 menu gamau tahu gamau tahu. Alergi. Tetep d kasi. Males mau makan jdinya. Lain kali tlg di BACA
Geprek Kak Rose Kalpataru,Ollen,1,"Lama buanget pol, padahal cuma 2 menu makanan tp udah setengah jam lebih nunggunya.... Mohon di perbaiki bagian nota makanannya biar tertata, kayak kurang singkron antara nota dari kasir dan yg dikerjakan bagian dapur"
Geprek Kak Rose Kalpataru,Hendra Hariyono,1,Saya jemput orderan otw jam 8 pagi sampai di resto 8:05. Sampai jam 8:45 belum selesai padahal resto juga gak ramai2 banget. Klo belum siap jangan terima order habis waktu driver buat 1 order saja. Sangat2 merugikan driver
Geprek Kak Rose Kalpataru,Salsabillah Rahmadani Purnomo,5,"Tempaknya enak, pegawainya ramah paling suka sama menu crispy currynya enak bangett"
Geprek Kak Rose Kalpataru,Ahmad Ridho,1,"Makanan nggak enak. Basi. Bau. Harganya mahal tapi gak enak.
Kalau gak niat jualan tutup saja onlinenya. Merugikan orang lain nunggu lama makanan tidak siap. Jangan jualan kalau tidak niat. Semua grupnya anak baik corps jangan dibeli gak enak. Sama seperti ayam nelongso parah lama semua pelayanannya lelet semua."
Geprek Kak Rose Kalpataru,bagus perdana,3,"Dulu sering ke Kak Rose Tlogomas & Sumbersari. Paling suka telurnya bener2 krispi plus teksturnya ada kriwil2nya. Tadi beli d cabang Kalpataru cukup kaget karena telurnya terlalu tipis plus teksturnya datar banget gak ada kriwilnya sama sekali, bukan telur krispi dong kalo gini 👎🏻 Sama aja kayak telur dadar biasa rasanya. Dan sambalnya jadi lebih sedikit. Entah memang sekarang semua sama begini atau gimana, tp yang jelas kurang puas."
Geprek Kak Rose Kalpataru,Abdus safi Aprilio,1,"Nasi Telur atau minyak telur?, nasinya minyakan berlebih ga enak jadi kesan enek terus mual, saya pesen kerupuk kok ga ada ya?. hadehhh Tolong dong Dibenerin lagi sy udah 2x loh gimana sih."
Geprek Kak Rose Kalpataru,Albert Kray El Malik,5,"19 April 2024

Makanan : Enak, Gurih dan Ayamnya tidak kecil

Pelayanan : Full Senyum, Ramah, dan Sigap membantu

Tempat : Cukup Bersih ada toilet dan wastafel cuci tangan

Harga : untuk harga termasuk relatif murah mengingat nasi dan es teh bisa Refill sepuasnya dan rasa makanannya yang tergolong enak

Overall Tempat ini Rekomend banget untuk jadi tujuan makan enak dan murah"
