nama_tempat,username,rating,review
Geprek Kak Rose Suhat Malang,Choco Panda,1,"Pesen malem"" lewat gofood gak karuan banget.. pelayanan jelek lama bangett woii nyampe 2 jam lebih. Drivernya aja kasian nunggu lama bgtt, udah gitu pas makanan sampe gak dikasih sambel samsek. Parahnya lagi nasi jadi bubur wkwkw geprek …"
Geprek Kak Rose Suhat Malang,Hibatulloh Zaki Ardiansyah,4,"Salah satu tempat yang menjual ayam geprek di daerah Suhat Malang.

Tempat strategis, bersih, rapi, aman, cukup nyaman, parkir cukup luas akan tetapi ada kang parkir (berbayar).

Ada fasilitas gratis Refill es teh, ada colokan yang cukup banyak tiap meja, wastafel, dan musholla.

untuk rasa tergantung selera, ada berbagai macam sambel juga.

sekian terimakasih."
Geprek Kak Rose Suhat Malang,Nano Rizki Pratama,3,"Halo Resto Kak Rose, semenjak di Malang Kak Rose resto pertama saya yg jadi langganan sarapan.

Nah udah lama nggk kesini tp saya dapat kesan kurang memuaskan. Nota saya terselip karena belum tercetak dan ada kejadian 2 orang hampir tergelincir oleh lantai basah (Sepertinya karena di Gambar 1. Karena posisi cuaca lagi cerah juga) Dan ketika ada driver lain bilang ""Mas lantainya basah"" dia hanya bilang ""Biarkan saja"", responnya mengejutkan saya yg sedang menunggu pesanan TA saya. Padahal dengan tiga karyawan mungkin salah satunya bisa menyempatkan mengeringkan lantai dengan moop.

Jadi saya harap kemudian hari tidak terulang lagi ya, saya turus senang jika Kak Rose bisa menerima kritik dan masukan tersebut untuk kualitas yang lebih baik lagi kedepannya."
Geprek Kak Rose Suhat Malang,Mio Perdani,4,Lumayan sih rame terus ini tempat. Rasanya enak. Free refill nasi dan teh kalo dine in. Nunggu nya g terlalu lama dan ada tempat duduk untuk nunggu selagi g antri banget ya. Lokasinya di sehat sederetan ama chatime.
Geprek Kak Rose Suhat Malang,My Body My Choice,4,"halo gengs kali ini episode makanan ramah kantong khususnya tanggal tua

ada geprek kak rose kebanggaan anak kos, ayam murah, nasi ambil sepuasnya, es teh amber amber

udah jangan protes masalah rasa, dengan apa yg kita bayar ini udah proper

tempatnya standar, pelayanan bagus, serving time sangat kilat"
Geprek Kak Rose Suhat Malang,khusus coc1,5,"makanan enak, cm yg bikin ilfil sekelas resto besar gini gak mau bayar tukang parkir biar pengunjung dan lain lain gak kena parkir.bikin sebel tkg parkir nya. duduk duduk nrima duit doang"
Geprek Kak Rose Suhat Malang,Maulidina Dafitri,5,"Aku pesen yang “Chicken Hokage Sambal Bawang” ga ekspek kayak gini, tapi okelah cuma agak tipis banget emang salahku sih ga liat dan ga tau bentuknya akan gini 😭 Untuk harga 22.400 kurang worth tapi namanya lagi laper GIMANA YA."
Geprek Kak Rose Suhat Malang,Muhamad Syahadad Ridho,5,makanan enak tempat nyaman angin sepoi sepoi harga mahasiswa 🤙🏼
Geprek Kak Rose Suhat Malang,tia rahma,5,"Makanannya enak-enak, harganya juga merakyat, boleh refill lagi. Solusi perut kamu yang sangat lapar ituu😚❤"
Geprek Kak Rose Suhat Malang,Marsela Dwi Agustin,4,"Untuk ayamnya enak bumbunya meresap dan sambalnya juga enak, Harganya sangat murah cocok untuk anak kos, Nasi dan Es teh bisa Refill, Pelayanan ramah ramah, Untuk kebersihan mohon di perhatikan lagi, tempat cuci tangan airnya kecil sekali."
Geprek Kak Rose Suhat Malang,Di Ka,5,Untuk suasananya si enak sama pelayanannya bagus dan cepet dan untuk makanannya recommended banget best seller sekali udah murah enak sekali. Pokoknya the best deh🥰🥰🥰
Geprek Kak Rose Suhat Malang,Moch Syahrul Mustofa,5,"Mantap!! Bumbu Ayam hokage BBQ nya meresap ke dagingnya,sambalnya bikin nagih dan juga bumbu gulainya enak terasa nasinya juga bisa ambil sepuasnya juga harga terjangkau sesuai untuk anak kost tempatnya juga terjangkau pokoknya mantap deh rugi gak coba ayam di geprek kak Rose Suhat"
Geprek Kak Rose Suhat Malang,Azka Putra,1,"Antri cuma 3 orang hampir sejam,apa lagi karyawannya yg orang timur itu keluar masuk dapur nyicipi makanan di dapur,padahal di dapur sampai 4 orang,cuma leletnya minta ampun"
Geprek Kak Rose Suhat Malang,Tamami Maesaroh,5,"Tempat lantai 1 agak gelap karna lampu dan pencahayaan sedang diperbaiki, saran cat temboknya di pilih yang warna cerah (misal. Oren atau merah sesuai makanannya hehe). Untuk lantai 2 nya terang dan luas banyak tempat duduk."
