nama_tempat,username,rating,review
Geprek Kak Rose - Sukun,Andry Trianto,4,"Pertama kali datang kesini di ajak teman yang tidak jauh dari lokasi.

Menurut saya tidak ada yang salah dari tempat makan ini seperti review orang sebelumnya.

Sepertinya tidak sama pas awal pembukaan yang ramai sekali, datang kesini relatif sepi. Hanya setelah kami berdua memesan untuk makan disini, mulai ada beberapa pelanggan yang datang dan pesan.

Kami memesan nasi telor dan nasi jamur. Menurut saya gorengan telornya terlalu banyak minyak, seharusnya ditiriskan terlebih dahulu.

Untuk pelayanan disediakan system refill yakni nasi, sambal dan minuman teh. Ya akhirnya karena masih lapar sedari pagi belum makan, saya imbuh atau ambil nasi lagi.

Dari segi fasilitas cukup lengkap, ada wastafel, toilet, tempat wudhu dan sholat.

Semoga tempat makan ini bisa ramai lagi seperti awal pembukaan. Tingkatkan terus kebersihan, layanan dan menu makan."
Geprek Kak Rose - Sukun,Aripin Jambrong,1,mohon maaf min .akhir2 ini kenapa ya kok malah ngadi2 di sini . kemaren2 ayam basi . terus yang ini tadi juga sambal udah basi . kurang pengecek an apa kurang koordinasi? . lain kali mohon di cek ya min sebelum di sajikan takutnya nanti yang enggak2 . tri makasih
Geprek Kak Rose - Sukun,Naufal Alif,5,"Tempatnya cukup luas ada lantai 1 dan lantai 2 nya. Pelayanan juga cukup ramah, harganya murah, ada tempat sholat dan kamar mandinya, wastafel juga sudah ada di kedua lantainya. Untuk porsi ayamnya cukup besar dan pastinya bebas ambil untuk nasi, bumbu, dan serundeng nya. Tersedia juga free wifi, tinggal tanyakan ke staff untuk kata sandinya. Untuk lokasi parkirnya di depan jadi satu dengan parkir ruko lainnya, ada tukang parkir untuk memudahkan keluar masuk jalan raya S. Supriadi yang cukup ramai"
Geprek Kak Rose - Sukun,Indah Oktaviana,1,"Kalo emang niatnya buka 24jam tolong dong diperbaiki, masa ke resto jm 3 niat mau beli udh didepan kasir gak ada yg jaga dan standny! Ada 2 org laki2 gatau siapa malah diem aja gk ada yg respon!"
Geprek Kak Rose - Sukun,Xyz Xyz,1,"Ayam geprek nasi nya tidak ada lauk tahu nya tidak bisa refil nasi padahal tulisannya refil nasi serta es batu untuk es teh nya sudah cair, dan juga meja meja belum bersih banyak sisa makanan belum dibersihkan dan pegawai tidak pakai masker padahal ada aturan tertera pegawai tidak pake masker gratis tpi tidak gratis SAYA PAKE JAKET MERAH BARUSAN."
Geprek Kak Rose - Sukun,033_M_Yusuf Al_Ghifari,3,"Saat saya bertanya ayam yang tidak pedas, saya direkomendasikan ayam barbeque tapi itu masih pedas. Saya jadi sakit perut 3 hari tiga malam"
Geprek Kak Rose - Sukun,Serli Maulidiyah,2,"Saya dari dulu pecinta geprek kak ros, tapi kenapa untuk sambal gepreknya yang sambal pedas / sambal koreknya di kasih yang sambal bawang.
Dan apesnya lagi hari ini saya pesan ayam nya dingin + nasi hampir dingin padahal itu barusan ambil dari majicom.
Serta pelayanannya kurang ramah dan untuk kasirnya ada yang pakek masker ada yang tidak.😭
Saya sebagai pecinta geprek kak ros sangat kecewa karna makanan dingin dan sambal yang saya suka kadang g ada / ga konsisten.
Mohon maaf terimakasih🙂‍↕️🙏🏻"
Geprek Kak Rose - Sukun,Naufal Andrianto Nurfauzi,5,"menunya enak dan rasanya tetap enak sejak pertama kali beli dulu, makan di tempat bisa refill nasi, pelayanannya ramah dan harganya sesuai"
Geprek Kak Rose - Sukun,Bro Yonathan Channel,4,"Tempatnya oke banget pinggir jalan gampang dicari. Ada jukirnya juga yg bantu cari parkiran

Rasanya ayam gepreknya enak dan pedasnya nampol. Tapi yg cabang sukun ini ayamnya kecil di banding yang di Suhat, padahal dama² request dada

Kasirnya agak kurang fokus. Orang pesen sambal merah dtgnya sambal ijo, terus makanan siap gak di panggil² utk ambil, di tanya ini itu jawabannya kurang jelas, gak ramah pula.

Maju terus Geprek kak Rose Sukun !"
Geprek Kak Rose - Sukun,ayoe eoya,5,"Sambalnya enak. Ayamnya juga enak, tapi kecil. Ya sesuai lah sama harganya. Cuma menunya kurang bervariatif. Biasanya untuk sayurnya sering kosong, jadi cuma ayam saja. Harga juga murah, cocok buat kantong anak kost. Kalau untuk makan ditempat emang tempatnya kayak kurang nyaman. Biasanya saya beli untuk dibawa pulang. Lokasi mudah untuk ditemukan, berada di pinggir jalan raya besar"
Geprek Kak Rose - Sukun,Arthur Morgan,5,Tempat duduk sedikit dan parkir harus menyeberang jalan.  Untuk rasa tetep yg terbaik. Sayang pelayanan cukup kecewa. Tanya di kasir katanya bisa request jamur tidak pedas. Ternyata disajikan pedas. Tidak bisa termakan karena yg pesan tidak tahan pedas.
Geprek Kak Rose - Sukun,Lailatul Qodaria,2,"Kemarin aku masih sempat senang dan puas datang ke geprek kak ros di sukun, tapi sekarang ada perubahan kemarin aku datang ke sana nasi udah nggak bisa ngambil sepuasnya lagi jadi nggak begitu nikmat cukup terkejut sih aku kemarin pas aku datang ke resto dengan suami dan teman suamiku kalau masih bisa ngambil sendiri kan enak lega hehehe jadi kalau mau nambah udah nggak perlu nambah karena porsinya sudah pas kalau nggak ngambil sendiri kalau mau nambah ya mau nggak mau harus turun tangga"
Geprek Kak Rose - Sukun,Shinta Anggunita,1,"Udh sering kesini, tp semakin lama semakin kecil ayamnya kemarin malah dapet cuma kyk filletan dada ayam jadi 3, tipis bangett ga lagi deh kesini, ini baru saya makan dikit padahal, minum juga dulu ga bayar cup sekarang jdi bayar"
Geprek Kak Rose - Sukun,FBS_Azzahra Octitania Kautsari,3,"ayam geprek nya enak bumbunya terasa tapi pembelian pertama saya sambal bawangnya apek, kaya sambal lama / lombok lama (saya tau karena saya sering buat sambal bawang) overall lumayan"
Geprek Kak Rose - Sukun,օѵαղ ҽkα,1,"bukannya bilang secara terang2 an klo customer disuruh pulang atau bagaimana sy tdk tau pemikiran crew outlet ini, intinya malah muter musik kuenceng bgt biar kitanya ga nyaman dan pulang. HEYY CARA KEKANAK2 AN ? TERNYATA HRD NYA MEMPERKERJAKAN SEMUA CREW OUTLET DENGAN KARAKTER SIKAP YANG MINUS? GAPUNYA TATA KRAMA???!!!! INI RESTO YANG DI DATANGI ARTIS KAN??!! KENAPA SKRG JD MENGECEWAKAN, SUDAH RASANYA BEDA GAK ENAK MAKANYA MALAM SY DTG SEPI BIASANYA UDAH ANTRI SEKITAR JAM SET 10 TADI. SEMOGA TATA KRAMA BURUK DIBALAS DENGAN YANG SE HARUSNYA. CREW GASOPAN BERESIN PIRING BANTING2 SY TAU CAPEK KERJA TAPI GASOPAN KARNA DI TMPT ITU MSH ADA ORANG MAKAN GAK PERMISI MALAH KAYA ANAK KECIL"
Geprek Kak Rose - Sukun,Muhammad Yusuf,1,"Pelayanan yang sangat lama sekali saya pesan duluan malah orang yang baru pesan dulu yang layani , karyawan gak Rama blas , nasi kurang masak masih ada beras nya /mbelenyek , intinya gak sesuai ekspektasi"
Geprek Kak Rose - Sukun,Apple Pie,5,"Menurutku ini cocok buat take away yaa makanannya, gapernah kecewa sih belinya, ayamnya juga lumayan gede, pernah kesana tpi ya menurutku tempatnya keliatan kurang nyaman aja si
Yang pengen coba kesana bolehlah,intinya pendapat masing2😁🤗"
Geprek Kak Rose - Sukun,OXC boy,5,"Coba menu baru Chicken Hokage rasanya enak ayam di buat dadakan fresh jadi masih hangat, sambelnya mantap seperti biasa nasi sama es teh bisa refill ambil sendiri kenyang pokoknya..😄👍"
Geprek Kak Rose - Sukun,Achmad Ijal,1,"pelayanan kurang memuaskan, di kasir gak ada orang udah ditunggu sampai setengah jam gak ada pegawainya. kalau gak ada pegawai mending tutup aja"
