nama_tempat,username,rating,review
Kopi Studio 24 Panglima Sudirman,miming redinas,5,"Tempatnya enak, akses mudah dijangkau, pelayanan cepat dan ramah"
Kopi Studio 24 Panglima Sudirman,Fellyza Fergianita,5,Pelayananya sangat ramah tempatnya bersih recomended sekali 😍
Kopi Studio 24 Panglima Sudirman,AFIFAH DWI HUSNA SHABHA,5,"Tempatnya nyaman, pelayanan juga ramah dan super cepat, menu nya juga tergolong sangat murah"
Kopi Studio 24 Panglima Sudirman,vyola permatasari,5,"Mantap pelayanan dan harga bersahabat ,dekat tempat kerja enakk"
Kopi Studio 24 Panglima Sudirman,Jaya Agil,5,"Pelayanan ramah dan makanan juga ramah d kantong .
Tempat enjoy santai untuk nugas atau kerja wfh..  mantapppp.
Ruangan indoor nya juga bersih nyaman"
Kopi Studio 24 Panglima Sudirman,Ayulita Ikaputri Mudzakkir,5,"tempatnya cozy banget, pelayanannya ramah....harga sangat murah di kantong
ruangan juga bersih baik yg indoor ataupun outdoor
cocok untuk tempat kerja ataupun ngerjain tugas"
Kopi Studio 24 Panglima Sudirman,Anggie Deva,5,"Tempat nyaman, ramah pelayanan Kaka nya, recommended bgt guys 🫶🏼"
Kopi Studio 24 Panglima Sudirman,Fellyza Fergianita,5,Tempatnya bersih pelayanan ya ramah 😍
Kopi Studio 24 Panglima Sudirman,A A,5,"menurutku tempatnya paling enak disini diantara semua kopstud, pegawainya juga ramah2, ngasih rekomendasi dan ksh tau ada diskon apa aja👍🏻👍🏻💯💯"
Kopi Studio 24 Panglima Sudirman,Luna Kintan,5,"mantap, pelayanan cepat, lingkungan bersih"
Kopi Studio 24 Panglima Sudirman,Siska Dian Anggraeni,5,Tempat bersih kamar mandi juga bersih pelayanan kakaknya ramah dan baik banyak ya g beli untuk dibungkus dan dibawa pulang tapi pelayanan cepat enak sekali mampir karena habis beli pampers di toko sebelah 😃
Kopi Studio 24 Panglima Sudirman,cndyyy,5,tempatnya nyaman pelayanannya cepet dan ramah
Kopi Studio 24 Panglima Sudirman,Cheri Adelia,5,"Tempat cozy lt 2 enak buat nugas, cocok di kantong mahasiswa"
Kopi Studio 24 Panglima Sudirman,Sitimasluha Luha,5,"Tempat bersih
Pelayanan baik"
Kopi Studio 24 Panglima Sudirman,Raditya Rizki Pratama,5,"tempat recommended dan nyaman, harga juga murah"
Kopi Studio 24 Panglima Sudirman,Maria Aprita,5,tempatnya bersih dan pelayanannya ramah
Kopi Studio 24 Panglima Sudirman,Putri Nur Fadhillah Azzahra,5,"Rekomen banget buat nongki, makanann dan minumanyaa juga enak 😍 ramah dikantong"
Kopi Studio 24 Panglima Sudirman,Rifqy Madani,5,"Tempat nya bersih, nugasable banget. ada musholla sih jadi kalo lama disana enak."
Kopi Studio 24 Panglima Sudirman,Fawwaz Dzaky,5,"Tempat oke ada lantai 1 dan 2, lantai 1 smoking area, lantai 2 AC dan tidak smoking area, kamar mandi nyaman, makanan dan minuman oke, yang aku foto ini lantai 1 saja"
Kopi Studio 24 Panglima Sudirman,Rizka Rahmania Ameilia,5,"Pelayanan cepat, es kopi susu d'cream selalu jadi menu favorit yang kupesan.
Tempat cozy"
Kopi Studio 24 Panglima Sudirman,laily damayanti19,1,"firstime ke tempat karna dekat rumah udh dpt pelayanan gak enak.
kasir tidak melayani sesuai antrian👎🏼
org baru datang lgs dilayani, saya antri depan dilayani belakangan"
Kopi Studio 24 Panglima Sudirman,Lia Nada,5,Tempatnya nyaman n pelayanannya ramah
Kopi Studio 24 Panglima Sudirman,Martina Damayanti,5,"pelayanan baik, kakanya ramah, tempatnya enakk"
Kopi Studio 24 Panglima Sudirman,nonny felisha,5,"pelayanannya cepat, karyawannya juga ramah sekalii, menu nya sangat banyak cocok juga buat kalian yg mau nongkii dan nugasss"
Kopi Studio 24 Panglima Sudirman,P17310223058 SYAHRINA TAZKIA PUTRI,5,"pelayanannya cepat, karyawannya juga ramah sekalii, menu nya sangat banyak cocok juga buat kalian yg mau nugass"
Kopi Studio 24 Panglima Sudirman,Imanuelkevin Jhonson,5,"Untuk makanan dan minumannya tidak pernah mengecewakan, mau di kopi studio mana pun sama aja. Yang jadi poin plus nya, sistem pembayaran bisa cash dan Qris, tidak seperti di outlet lain yang hanya bisa Cash/Qris saja. Untuk tempatnya juga lumayan luas, buat nugas juga cocok sekali. Tempatnya bersih dan nyaman, mudahan tetap terjaga👍🏼🤩"
Kopi Studio 24 Panglima Sudirman,angger. prameswari,5,pelayanannya ramah ramah pesannya cepat jadi🫰🏻💞💞
Kopi Studio 24 Panglima Sudirman,izzaa ixan,5,"pelayanannya ramah, tempatnya luas cocok untuk nongkrong"
Kopi Studio 24 Panglima Sudirman,Dimas Irfan Shaugi,5,Seperti biasa menu yang murah enak dan bisa akses 24 jam.  Menu juga variatif
Kopi Studio 24 Panglima Sudirman,Yunita,5,Tempat cozy enak buat nyantai bersama keluarga juga. Makanan enak
Kopi Studio 24 Panglima Sudirman,ramdhani rizki,5,"Tempatnya strategis, dekat dari stasiun dan pasar klojen. Suasananya nyaman, pas buat nongkrong"
Kopi Studio 24 Panglima Sudirman,Shinta Ayu Dewi,5,"tempatnya yang bagus, menunya enak semua"
Kopi Studio 24 Panglima Sudirman,Diva Miftahul Jannah,5,"pelayanannya ramah
tempat bersih
ada ruangan ber ac cocok untuk wfc"
Kopi Studio 24 Panglima Sudirman,intanputri maharani,5,"Tempatnyaa bersih bgt, kasirnyaa ramah, pelayanannya cepatt bgttt"
Kopi Studio 24 Panglima Sudirman,Sompeel Coffee,5,Tempat nyaman dan pelayanan Ramah
Kopi Studio 24 Panglima Sudirman,Aura Salsabila,5,"tempatnya enak, pelayanannya baik. top!"
Kopi Studio 24 Panglima Sudirman,Andita Kumalasari,5,Tempat nya nyaman. Bersih . Oke
Kopi Studio 24 Panglima Sudirman,Nnda diah,5,"Pelayanannya ramah , tempatnya bersihh"
Kopi Studio 24 Panglima Sudirman,Sabila Sheha,5,Kopstud paling nyamanan siihh menurutku😍😍 kopsus d cream nyaa the besssttt😍😍😍😍🤪🤪
Kopi Studio 24 Panglima Sudirman,Yuli Siva,5,"Pelayanan super ramah, cepat dan tanggap
Kopinya juga worth it"
Kopi Studio 24 Panglima Sudirman,Nafisa Meitinho,5,"tempat nyaman, kakanya ramahhhhh lovvv"
