nama_tempat,username,rating,review
Mie Gacoan Malang - Sukun,Siti Nafisah,5,"Tempatnya luas,.. Bisa untuk acara keluarga ataupun arisan. Dan kebetulan dekat dari rumah. Untuk menunya enak, worth it dg harganya. Mantap 👍 …"
Mie Gacoan Malang - Sukun,Nefada deniarta Siahaan,3,untuk tempat dimsum bagian bawah sampai jamur karna terlalu numpuk kotornya sama piring bagian bawah juga sebelah pojok tolong lebih bersih karna kotornya numpuk nanti jamur juga. terimakasih
Mie Gacoan Malang - Sukun,Fikri Haikal,5,"Salah satu tempat mie yang recomendasi bangeet buat para muda mudi, harga terjangkau, nuansa nyaman, cocok untuk makan siang dan makan malam, area yang luas termasuk tempat parkir."
Mie Gacoan Malang - Sukun,Naufal Alif,5,"Salah satu cabang mie gacoan baru yang ramai seperti biasa. Pelayanan cukup oke dan cepat, karena belum terlalu ramai juga. Rasa makanan ya seperti gacoan pada biasanya yang terbilang oke juga. Area juga cukup bersih. Overall recommend juga yang di cabang ini."
Mie Gacoan Malang - Sukun,Leonore,5,"Murah meriah, pelayanan cepat, cukup nikmat seperti biasanya, dan tempat dine in juga bersih. Ada beberapa meja yang menyediakan stop kontak juga."
Mie Gacoan Malang - Sukun,Titin Vela,5,"Termasuk enak yang di Sukun ini, rasa mie nya, sm udang2annya juga, agak rame ya apalagi pas Sabtu, untuk kamar mandinya guys, itu lampunya bakal otomatis nyala sama mati pas kita nutup pintunya yaa, entah di Gacoan yg lain sama apa enggak hehe"
Mie Gacoan Malang - Sukun,Dian Pratama,5,"Mie dan lain""nya enak menurutku.. minumannya pun manisnya pas..  aku lebih suka chocoan.. untuk suasana ya begitulah selalu ramaii pengunjung tapi bersih.."
Mie Gacoan Malang - Sukun,eli ulaidaro,5,"enak kayak biasanya sih, cuma kalo lagi rame nunggunya agak lama ya, overall masih worth it kok, cuma yg parkir di depan aja kadang ga dibantuin cuma dilihatin aja 😭"
Mie Gacoan Malang - Sukun,Mas Nugros,5,"Udang kejunya oke banget, gurih dan lumer di mulut. Tingkat kepedasannya konsisten, jadi selalu pas setiap kali pesan. Suasananya memang ramai, menandakan banyak yang suka. Kasirnya juga cekatan, jadi meskipun ramai tetap terasa cepat dan nyaman"
Mie Gacoan Malang - Sukun,Dyah Wahyu,5,"Antri meskipun tengah malam, saya makan jam 11 malam, mi nya juga keriting bukan ki seperti biasanya, mungkin stoknya habis dan takaran mi per porsi beda beda, menurut saya perbaiki lagi di kualitas mi nya"
Mie Gacoan Malang - Sukun,leyli fridaa,5,"enak pelayanan oke, tingkat pedas pas gak terlalu oedes, bagi yg kurang kuat pedes
cocok kalau ke cabang sukun"
Mie Gacoan Malang - Sukun,Robby Cahyadi,1,"Apakah sistem yang sekarang sudah ganti ?
Biasanya 15 menit selesai dan di antar, hampir 40 menit juga belum di antar. Setelah di tanyakan ternyata self service namun tidak juga di bunyikan alarmnya. Makanan mulai dingin. Gak asik gacoan sekarang.."
Mie Gacoan Malang - Sukun,Nurul Qomariyah,4,"sebenarnya enak tp karyawan didpn knp harus julid dan ga enak ya pandangannya, kita custamer ya hrs ramah, apalagi ke gojek td sempat bentak² gojek juga kerja, aku tau karyawan jg capek tp gojek kerja juga capek, tp hrs sling menghargai dong, apalagi karyawan hrsnya ramah kesiapapun ituu... mhn lebih di breafingg, makasih tp nyaman kok yg lainnya oke2 aja"
Mie Gacoan Malang - Sukun,shyva putry,1,"Pesan makanan keluar lama sudah 1 jam , makanan baru keluar itupun sudah ditanyakan sampai 2 kali , dan gak dianter .
Sampai pesanan di meja yang datangnya setalah ku sudah selesai makan .
Padahal nomor meja kelihatan jelas , pelayan juga tanpa ngucapin minta maaf , suruh bawa makanan nya sendiri . Akhirnya makanan sudah dingin dikasihkan dan gak kita makan , kita tinggal pulang karena sudah gak selera lagi
Monta tolong sikap dan pelayanannya di perbaiki lagi , kami kesana pesan makan juga bayar gak gratis ."
Mie Gacoan Malang - Sukun,ilham arif firmansah,5,"masuk aja dulu, dari luar emang terkesan ramai dan full, penyajian juga gak nunggu lama.

masuk, cari meja yg kosong, scan barcode di meja untuk pemesanan, kemudian bayar bisa cash maupun cashless, tunggu alarm, ambil yg sudah di pesan, cocokan dengan struk pesanan. dan selamat menikmati. ingat secukupnya jangan sampai lapar mata hehe."
Mie Gacoan Malang - Sukun,santri panji,1,"ga ada taburan bubuk ayam di mie nya spt dulu..rasanya juga lbih enak dulu..klopun ada sdikiiit bgt..
pelayanan kemaren bnyk kesalahan ..siomayny cuma satu .pdhl yg lain 2 ..minuman g dksih sedotan dll.
aplg ribet harus ambil mknan sendri  tdk spt di restoran restoran yg tinggal duduk dikirim mknan.
tempatnya kdang panas sekali tirai ga di tutup"
Mie Gacoan Malang - Sukun,Cece Lingwi,2,"Menurutku entah knpa rasa mie gacoan tidak seenak duluu .. Bahkan dimsum udang keju pun juga gk seenak duluu.
Antri sangat panjanggg jadi menunggu cukup lama."
Mie Gacoan Malang - Sukun,Faris Tri Prayogo 039,5,"Pelayanan, Kebersihan, dan semua komponen disini terbaik banget. Selalu menjadi favorit makan di gacoan sukun"
Mie Gacoan Malang - Sukun,Tania zha,2,"Pesanan take away selalu dapet yang rasanya kurang, pesan mie gacoan lv. 1 tapi pedes banget kyk lv. 4, bumbunya terlalu pucet jadi kyk mie hompimpa rasanya cenderung hambar."
Mie Gacoan Malang - Sukun,naungan surya,1,"Cab Tlogomas dan Suhat rame terus tapi cepat lah disini rame kagak tapi lama, pegawai banyak tapi lelet payah remek"
