nama_tempat,username,rating,review
Mie Gacoan Sawojajar Kota Malang,ininda queen,5,"Kalo mau makan di tempat, nga perlu antre di kasir.
Kita order dari meja yg kita pilih, lalu pilih menu lewat website mereka dan bayar dg metode pembayaran yg kita mau.

Kalo bingung nanti diajarin sama mbaknya yg jaga. Jadinya self service, ya. Pesan sendiri, bayar sendiri, ambil sendiri.

Tempatnya enak, bersih dan sejuk kena angin karena tempatnya terbuka banget. Rasa mienya juga lebih pedas dari yg di skn."
Mie Gacoan Sawojajar Kota Malang,Fad R,4,"Cukup tergantung dengan sistem pesan via barcode. Tidak perlu berdiri lama untuk antri di kasir. Jadi masuk, tinggal pilih mau duduk di mana trs scan barcode yang tersedia, pesan dan bayar.. udah deh tinggal nunggu nomor antriannya dipanggil. Pelayanannya cukup memuaskan, area makannya juga luas dan bersih. Tidak termasuk area fasilitas penunjangnya seperti wc ataupun musholla ya, karena saya tidak sempat ke sana. Kalau untuk kualitas makan dan minumnya masih standard mie gacoan ya, jadi masih oke"
Mie Gacoan Sawojajar Kota Malang,Triesya Aprilia,5,"Sangat ramai, tapi tidak menunggu lama karena sekarang kalau pesan menu pakai sistem scan dan langsung bayar dikasir. Suka."
Mie Gacoan Sawojajar Kota Malang,S4nD_Ara,5,Pesan lgsg pakai Qris dimeja masing². Parkiran luas dan tempat makan bersih dan sejuk meskipun di tengah kota.
Mie Gacoan Sawojajar Kota Malang,Berty Pritasari,5,"Tempat bersih dan nyaman, pelayanan cepat, karyawan baik dan ramah, semua makanannya oke banget 🥰👍"
Mie Gacoan Sawojajar Kota Malang,Azizah Thalib,1,"Nunggunya terlalu lama saya pesan jam 20.05 jam 21.05 belum jadi juga, biasanya kalo ditempat makan gk ada yg nunggu nya terlalu lama bahkan sampai 1 jam lebih semoga kedepannya bisa diperbaiki lagi"
Mie Gacoan Sawojajar Kota Malang,Rizaldi ilham,1,"Bisa dibayangkan makanan anda dibawa dengan nampak yg masih basah dan kotor gini. Tempat dimsum tidak bersih saat dicuci, better sajikan pakai piring kecil saja.
Mienya hari ini terasa aneh, seperti direbus dengan air kaporit karena terasa banget.
Pelayanan lama hanya untuk menunggu mie saja.
PERLU EVALUASI LEBIH LANJUT, TERUTAMA KEBERSIHANNYA"
Mie Gacoan Sawojajar Kota Malang,indaharum,5,"Mana si Gacoan yang ga jadi magnet buat orang-orang? 🤣

🥠 F & B
(+) Basic menunya ada di mie dan dimsum. Mie ada yang suit (ga pedas), gacoan (pedas manis), dan hompimpa (pedas gurih)
(+) Mie gacoan lv. 1 ini kepedesannya jauh di atas lv. 1 punya kob*r, set*n, dan S*. Coba deh bikin level kepedasan based on jumlah cabe. Buat rasa, sebenarnya jauh lebih gurih, manis, dan balance dari mie pedas lain. Pangsit goreng dapat 2, tekstur terlalu meaty dan kurang chewy. Rasa juga kurang nampol.
(+) Udang keju di sini yang paling satisfying. Teksturnya moist walaupun dominan rasa gurih ayamnya aja. Nggak ada potongan ataupun hint udang. Kejunya belum melt tapi masih gpp.
(-) Udang rambutan yang nggak ada potongan ataupun hint udang sama sekali. Bahkan rasanya agak … kurang meaty. Terlalu kopong.

💁 Service
(+) Ramah banget pelayanannya. Ada beberapa petugas trainee yang masih sangat bingung, tapi trainernya pantau terus dan kasih contoh 👍🏽
(+) Nggak antre.
Waktu penyajian: 20 menit (dari order).
(+) Payment: Cashless, Cash.

🅿️ Facilities
(+) Area indoor semua tapi sangat terbuka.
(+) Antrean buat dine in dan shopee dibedakan. Bahkan bisa pesan dan bayar di meja buat dine in.
(-) Nggak ada tissue di meja, tapi at least jangan ditaruh di atas tong sampah tinggi. Hygiene-nya gmna? 🥲

💰 Price
(+) Sangat affordable dan worth to buy! Recommend buat pesan paket combat yang lebih ekonomis.
(+) Display price doesn’t include tax 👍🏽"
Mie Gacoan Sawojajar Kota Malang,LUSI HASANAH,1,"Memang makanan cepet jadi tapii ya jaga kebersihan dongg, di gelas minuman banyak putih putih nya entah itu bekas susu atau apalah gatau. Mau makan keburu ga nafsu. Kebanyakan isi google review pun isinya sama tentang kurangnya kebersihan karyawan. Tolong dong di perbaiki lagi"
Mie Gacoan Sawojajar Kota Malang,Wahyu Ningsih,1,"Beli mie suit gak ada rasanya,hambar banget dan warnanya juga puyeh,kecewa banget sudah antri sebegitu lamanya dapatnya mie hambar."
Mie Gacoan Sawojajar Kota Malang,Anjay Mabar bos,1,Mohon maaf saya kasih nilai segitu saya kecewa dengan rasa minuman nya pesan yg harus nya hot jadi hangat biasa bahkan itu tidak hangat masa sekali dan untuk makanan tidak seperti biasanya agak hambar dan gelas kok dikasih begini sangat mengecewakan
Mie Gacoan Sawojajar Kota Malang,alynda marsha leona,5,"tempatnya nyaman, mba masnya baik dan ramah, kl mau dine in gaperlu antri karena bisa order by scan QR yg ada di setiap meja."
