nama_tempat,username,rating,review
Mie Gacoan Stasiun Kota Malang,Firman kurniawan,4,"Mie hompimpa nya  lumayan  dan porsinya pas. Toppingnya lengkap dan kuantitasnya lumayan , ada ayam,siomay kering, dan lainnya. Selain itu, ada beberapa pilihan menu yang bisa dicoba, di antaranya ada Mie gacoan , siomay , udang keriting …"
Mie Gacoan Stasiun Kota Malang,Fun Learning Bermain & Belajar,4,"duduk di meja yg di tengahnya ada pohon. terasa tempat duduk dari semen kurang terawat, termasuk lantainya juga.. kurang bersih dan perlu perawatan. makanan datang tidak terlalu lambat, tapi tidak secepat yang di Suhat. tapi rasa makanan sdh bisa mengobati kekurangan yang saya jelaskan sebelumnya."
Mie Gacoan Stasiun Kota Malang,Aldrin Rachman Pradana,5,"Gerai mie gacoan dekat stasiun malang. Lokasinya juga dekat dengan Taman trunojoyo, harga sama seperti gacoan lainnya. Enaknya yg di sini bisa dibungkus aja lalu makan di luar atau di taman di dekatnya. …"
Mie Gacoan Stasiun Kota Malang,Annastasya Neylanda Ezen,5,"disini enak bangeeett, tempatnya nyaman, makanan minumannya enak, ditambah lagi kesini sama temen temen kesayangan aku 🤍 …"
Mie Gacoan Stasiun Kota Malang,Ich,1,TOLONG UNTUK KASIR TELINGANYA TU DENGERIN BAIK BAIK NAPA GILAA PESEN LEVEL 4 DIKASIH LEVEL 1 DAHAL KONDISINYA JUGA GA RAME RAME BANGET!!! KECEWA BANGETT UNTUK ATASANNYA TOLONG DONG DI BRIEFING LAGI PIHAK KASIRNYA NGESELIN BANGET
Mie Gacoan Stasiun Kota Malang,A Riesky Akbar,1,"Parah, tuker menu aja gak bisa. Padahal belum dibayar. Kasir bilang sudah gak bisa ditukar. INI BELUM BAYAR LOH!! KECUALI UDAH BAYAR, OKE GAK BISA DITUKAR GAPAPA.
Harusnya bisa di sistem di RPS"
Mie Gacoan Stasiun Kota Malang,Af multimedia,5,"tempatnya nyaman, pelayanannya  bagus"
Mie Gacoan Stasiun Kota Malang,Raffi Gymnastiar,4,"Saya sering beli mie gacoan Favorit di stasiun, dan kualitas juga ga kalah sama yg lain, UR besar², cuman tadi barusan beli saya check dirumah Nemu 1 UR gepeng, harusnya di waste, jangan di pakai, tapi selain 1 saja, semua bagus dan besar, terimakasih, kedepannya tolong lebih teliti ya:')"
Mie Gacoan Stasiun Kota Malang,Fabella Yuniya,1,"Saya barusan kesana ada mbak mbak kasir 2 ada salah satu orangnya kurus pake alis tebal yang menatap saya dengan pandangan gaenak lama
Terus pas saya ambil makanan di take away dia ada disana
Dia julid in saya sambil ngomongin saya didepan saya sambil membelakang i saya kalau ga percaya liat aja di cctv jam 20.15 .saya  memakai baju putih rambut digerai dan memakai celana jeans
Perlu di training lagi saya sudah beberapa kali kesana tpi kali ini saya ketemu diaaa tlg di tegaskan apa mksdnya gitu saya ga trima sampai saya kesana lagi saya mai komplain langsung"
Mie Gacoan Stasiun Kota Malang,Vina Feriana,3,"Udah beberapa kali ke cabang ini, baru kali ini mie nya uasin bangettttt  huhu klo rame ko kacau rasanya"
