Mata Pelajaran,Soal,Jawaban,Skor,Keterangan
IPAS,Jelaskan Pengertian Zat,Zat yaitu segala sesuatu yang menempati ruang dan Memiliki Massa,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"Perubahan Fisika : Perubahan yang tidak Menghasilkan zat baru, hanya akan terjadi Perubahan wujud. Contoh: saat orang Menggiling beras dan menjadi tepung, air dimasukan kulkas menjadi beku. Perubahan Kimia: Perubahan yang bisa menghasilkan zat baru. Contoh : paku yang dibiarkan lama akan berkarat, pembusukan buah-buahan yang dibiarkan lama",10,Jawaban Siswa
IPAS,Mengapa pakan ternak yang membusuk termasuk perubahan kimia? Jelaskan,"termasuk zat kimia karena terbentuknya zat baru karena Aroma Menyengat, tekstur yang berubah",10,Jawaban Siswa
IPAS,Sebutkan ciri-ciri terjadinya perubahan kimia,"Membentuk Zat baru, Berubah bentuk, ukuran",5,Jawaban Siswa
IPAS,Gula yang dilarutkan dalam air tidak terlihat lagi bentuk aslinya. Apakah gula tersebut hilang atau berubah menjadi zat baru? Jelaskan berdasarkan jenis perubahannya,"perubahan fisika karena gula dalam air akan membentuk larutan gula, Secara fisik gula berubah dari bentuk padat menjadi larut dan tidak ada Perubahan zat baru tetapi hanya Perubahan wujud",5,Jawaban Siswa
IPAS,Air yang membeku menjadi es sering dikatakan berubah menjadi zat baru karena bentuknya berbeda. Jelaskan berdasarkan konsep perubahan zat,"Membeku adalah Perubahan wujud zat cair menjadi Padat tetapi tidak menimbulkan zat baru, dan termasuk perubahan fisika",10,Jawaban Siswa
IPAS,"Mengapa pembakaran kertas menghasilkan zat baru, sedangkan kertas yang disobek tidak menghasilkan zat baru","karena saat pembakaran kertas akan menimbulkan zat baru kertas yang semula putih akan menjadi hitam, sedangkan kertas yang di sobek hanya akan terjadi Perubahan ukuran dan tidak menimbulkan Zat baru",10,Jawaban Siswa
IPAS,"Jika suatu zat mengalami perubahan warna, apakah dapat dipastikan terjadi perubahan kimia? Jelaskan dengan contoh","Iya, karena yang berubah warna biasanya terbentuknya zat baru contoh pembusukan sayur dan buah-buahan, sayur yang semula hijau akan berubah menjadi busuk dan warnanya berubah, sedangkan jika yang kimmia tidak merubah warna hanya wujudnya saja yang berubah",10,Jawaban Siswa
IPAS,Jelaskan Pengertian Zat,Zat adalah materi yang secara ilmiah terbukti memiliki massa dan menempati ruang sehingga semua benda disekitar kita memenuhi dua sifat tersebut,10,Jawaban Siswa
IPAS,Apa perbedaan antara perubahan fisika dan perubahan kimia? Berikan masing-masing dua contoh dalam kehidupan sehari-hari,"fisika : perubahan yang tidak menghasilkan zat baru dan hanya terjadi perubahan bentuk atau sifat zat. Contoh : es krim / es batu mencair ketika di suhu ruang yang rendah,  lilin mencair ketika dipanaskan. Kimia : perubahan yang menghasilkan zat baru dengan komposisi dan sifat yang berbeda dari asalnya. Contoh : yogurt, pembuatan tape",10,Jawaban Siswa
