nama_tempat,username,rating,review
SURYA KOPITIAM,Ly,4,"Mampir disalah satu kopitiam yang vibesnya lumayan bisa buat nongkrong santai..menu favorit ku roti toastnya yang juara crispy outside soft inside perfect pairing sama teh tariknya..mie laksanya lumayan buat yang lagi pengen makan kalau nasi lemaknya kurang sih ya..
Overall a nice spot to chill with friends and just relax"
SURYA KOPITIAM,wiwin setiabudi,5,sy suka kopi hitam nya mantap cocok dengan selera saya bbener ga boong aku. suasana nya juga enak. ok pokok nya
SURYA KOPITIAM,FARID BAJURI,5,"Kopitiam terenak sebanyuwangi.

Harga tiap menunga terjangkau. Minumannya enak. Makanannya juga enak. Penyajiannya juga cepat walaupun sedang dalam keadaan ramai. Rekomendasi camilan adalah roti butter, siomay dan pisang goreng"
SURYA KOPITIAM,agung falah,2,"Pelayannya kurang ramah , sofa tempat duduk di dalam ditempati Crew sehingga pelanggan enggan mau duduk disana .

Tempat nya asyik sebenernya , minuman nya semua oke . Tapi kemarin pas pesan pisang goreng tepung nya masih belum Mateng .

Semoga kedepan bisa lebih baik lagi 🙏"
SURYA KOPITIAM,Aprilia Diliana,4,Cocok buat kumpul kumpul sama temen yang cuap cuap bukan temen yang mau ngobrolin kerjaan😅. Rame banget guys dan sering full. Untuk kopinya aku kurang suka dan makanannya menurutku B aja. Dengan harga yang relatif lumayan mahal 😅
SURYA KOPITIAM,steven suman,4,Jus jeruk enak. kopi susu mantap. Duduk outdoor juga enak.
SURYA KOPITIAM,Bagas Satya,5,"Datang sekitar jam 9 pagi. Awal datang, disuguhkan dengan tempat meja dan kursi di area taman yang cukup teduh dan tertata rapi. Masuk ke dalam cafe untuk memesan, terlihat bersih dan meja juga tertata rapi.

Saya memesan roti paratha asin dan teh tarik.
-Roti paratha asin: sangat enak disajikan dengan saus seperti kari/gulai. Rate: 4,5/5
-Teh tarik: cukup terasa tehnya, terasa creamy. Disajikan dengan cup plastik. Menurut saya lebih bagus lagi jika disajikan dengan gelas, lebih oke menurut saya. Rate: 4/5"
SURYA KOPITIAM,Sanjivani Bulandari Radji,5,"Suasananya enak dibuat nongkrong sama temen, teh tarik dan es coklatnya enak bangeeeet, Mie Banglanya juga medok banget, kalo Laksa kurang suka. Overall recommended dibuat nongkrong sampe tengah malem. hehehe"
SURYA KOPITIAM,Aditya Sakti,4,"+ interior keren bertema retro
+ Menu banyak dan beragam, dari mulai kopi, teh, wedang, makanan berat, camilan semua ada
+ Rasa lumayan enak
+ Harga terjangkau
+ Tempat luas, ada outdoor dan indoor

- pelayanan bisa ditingkatkan lagi. Pesan nasi lemak harus menunggu 40 menit baru datang"
SURYA KOPITIAM,fiqih ardiansyah,4,"Asik , nyaman dan selalu ramai, langganan anak muda Banyuwangi"
SURYA KOPITIAM,Lensy Avita,4,"Cocok buat nongkrong sama temen maupun sama pasangan.
Buat Kopi Susu O juga lumayan kalo pesen yang less sugar juga lumayan enak juga. Oiya jangan lupa pesen french fries nya menurutku enak sih.

Tempatnya juga cozy, ada indoor maupun outdoor nya. Buat nongkrong siang maupun malam juga cocok."
SURYA KOPITIAM,Ryan,5,"Surya Kopitiam, tempat minum kopi kekinian di Banyuwangi, tempat nongkrong anak muda, ramai saat malam hari. Ada ruangan indoor dan outdoor, Menu kopi yang ditawarkan mengikuti menu kopitiam kopitiam di Malaysia dan Singapore. Suasana tempatnya vintage klasik, cocok buat menghabiskan malam bersama teman atau orang yang disenangi."
SURYA KOPITIAM,Lukas Hartanto,5,"Satu lagi cafe yang meramaikan perkulineran di Banyuwangi Kota. Surya Kopitiam. Letaknya sebelah selatan Sego Mbok Judes. Cafe ini sepertinya sama dengan Cafe @tokokopisumberrejeki . Kopinya enak. Nyobain siomay juga enak. Tentunya bisa sebagai tempat gibah. Bisa dicoba...

🏠 @suryakopitiam , Jl Mendut Gg 5 no.7 Banyuwangi
⌚ 07.00 sd 22.00"
SURYA KOPITIAM,Irnisa Yunus,5,"Suka banget sama tempat ini... Yg pertama bukanya pagi, jm 7 udah buka jd yg pingin ngopi pagi + sarapan bakal cuss lgsg ksini. Yg kedua, tempatnya nyaman banget. Bakal jd langganan ini bisa² tiap pagi ksini meski sekedar ngopi..."
SURYA KOPITIAM,Oke Sip,4,"tempat : cocok untuk kumpul kumpul
nasi goreng : agak asin (selera masing masing
roti panggang : rotinya agak seret

lainnya oke dan mantap"
