nama_tempat,username,rating,review
WIZZMIE Banyuwangi,Aulia Mika,5,"Makanannya enak semua, pelayanan ramah dan cepat, tempatnya luas indoor dan outdoor, tersedia playground bermain anak, dan tempatnya bersih..
Udah berkali-kali ke tempat ini ga ada bosennya. Semoga tetap konsisten dalam memberikan pelayanan konsumen ☺️🤗"
WIZZMIE Banyuwangi,Ela Nuraini,4,"Awalnya sempet ragu mau nyobain wizz mie, tapi karna lihat tempatnya luas dan bagus jadi yakin buat nuobain wkwk

1. Porsi mienya lumayan banyak dan dpt 2 pangsit yng lumayan besar. Bisa pesen sesuai leves kepedasan yg diinginkan. Rasanya ga cuma pedes aja. Asin, gurih, manisnya masih kerasa. Sipp👍

2. Side dishnya buanyaaakk. Jadi pengen nyobaik semuaaa. Sushinya ada lebih dari 3 jenis dan ukurannya jg besar  Pilihan dimsumnya juga banyaakk banget. Jadi pengen nyobain semuanya wkwk

3. Gelatonya sih definisi the best gelato in town! Nyobain yang rasa strawberry bener² kerasa banget strawberrynya.

Suasananya nyaman dan adem.. tempatnya bener² luas.
cuma yang bagian belakang, alangkah baiknya meja kursi jangan di depan goilet pas yaa
Parkirnya juga luass banget tapi bagian kanan mungkin lbh baik ditanami pohon biar ga panas² banget huhu
Oh ya, alangkah lbh baik kalo sistem antriannya pake barcode di masing² meja, jadi antriannya bisa di meja masing² sambil duduk.
Overall good job Wizzme!🤩"
WIZZMIE Banyuwangi,Alya Salsabila,5,"Biasanya aku cuma order Wizzmie lewat Gojek krn aku tipe yg mls antri+agak jauh jg dr rumah, tapi kali ini pas bgt pulang kuliah penasaran pengen cobain langsung ke tempatnya. Ternyata suasananya enak juga😍Tempatnya bersih, modern, dan open kitchen gitu, bisa lihat mereka masak langsung😀🤏🏻. Mienya tetep seenak biasanya. Aku pesen yang level 3, pas banget buat yang suka pedes tapi gak mau tersiksa 😅Pelayanannya juga ramah dan cepet (kebetulan mba""kasirnya tmn sndiri, jadi aku minta tempat yg sejuk😋). Harganya masih oke, gak beda jauh sama yang di aplikasi."
WIZZMIE Banyuwangi,Dwi Widianto,1,"Kasir ga jelas, banyak ngobrol sendiri sama temannya dan binggung sendiri. Order makanan sampai berkali2 ngmngmya, soalnya suara music di store nya kenceng banget. Order level 1 malah bolak balik di tanya balik sama kasirnya level 4 ? Level 5? Padahal uda bilang 1 wkekw. Saking kencengnya lagu.

Order sendiri malah di suruh/dikira sama orang lain, untuk masalah tempat duduk juga membinggungkan. Kalau sudah di kasih nomer meja biasanya kan bisa pilih meja sesuai keinginan kita, ini dikasih nomer meja tapi disuruh duduk meja yg sama dengan nomernya. Lah terus nomer meja portable nuat apa?? Kalau emang gitu sistemnya harusnya di info di kasir bahwa nanti kakaknya duduk disini nomer ini. Harusnya begitu. Bukan sudah duduk malah di suruh pindah karna nomer salah. Untuk makanannya oke mie nya, minumnya oke. Tapi sushinya anyep, dingin banget.

Sarannya perlu di training lagi pegawai bagian kasir karna itu yg utama."
WIZZMIE Banyuwangi,Caramel Love,4,"beberapa kali kesini, beberapa kali juga rasa mienya berubah. paling suka sama udang kejunya. harga termasuk murah ya. untuk tempat duduk dikasih nomer menyesuaikan berapa orang kita datang"
WIZZMIE Banyuwangi,Maha Nanta,5,"Mampir kesini pas malam minggu ternyata ramai sekali wkwkw. Udah harganya yang terjangkau, enak, pelayanannya cepat, dan menunya juga variatif, ada varian mie, rice bowl, aneka sushi, dimsum, dan gelato. Untuk ketersediaan tempat duduk juga banyak meskipun hanya di lantai 1 saja."
WIZZMIE Banyuwangi,Roni Dwi Cahyo,2,"Untuk lokasi wizzmie cukup mudah dijangkau, berada di pusat kota, parkiran luas dan banyak tempat, tapi sayangnya meja cukup sempit dan kecil, dan antriannya cukup panjang dikarenakan staff pemesanan sangat lelet tidak cekatan, entah kenapa wizzmie tidak melakukan ide barcode di meja sehingga customer bisa memesan secara instan mandiri sperti hal gerai mie sebelah yg sdh bisa pesan instan mandiri di meja, saya sangat kecewa dengan antrian yg sangat panjang dan krodit.. kami mengantri d bagian pemesan mie sekitar 20mnit berdiri tanpa duduk, setelah itu antri di bagian gelato 20menit berdiri kembali tanpa duduk… bayangkan setengah jam lebih hanya untuk berdiri memesan menu.. belum lagi menunggu makanan ready… sungguh kacau pelayanan staff yg sangat lelet dan tidak cekatan, entah kenapa dibagian ini banyak staff perempuan ditempatkan… tidak ada satupun laki-laki dibagian depan pelayananan… tak hanya itu utk pemilihan meja kursi ditentukan oleh staffnya.. kami bertiga dikasi meja kecil dan kursi hanya 2, sungguh sangat menyiksa… meja dan kursi harus sesuai dengan papan yg kita bawa.. entah ini ide yg sangat diluar nalar.. semoga kedepan ada perubahan dan audit evaluasi yg signifikan utk pelayanannya… kami sdh makan di berbagai restoran dan gerai makan di berbagai kota tetapi disini sy kira cukup banyak harus dibenahi kembali…"
WIZZMIE Banyuwangi,N Ekawati,5,"Tempat nya bagus, luas. Terutama parkiran nya luas bgt. Mie nya enak, tp gak tau knp lv1 nya pedes banget. Kondimen2 lain nya juga enak, minuman nya enak, gelato nya standar aja sih. Pelayanan lumayan cepet"
WIZZMIE Banyuwangi,Mikha Setiyawati,4,"Parkir cukup luas, cuman saat beli masih antri. Harusnya bisa lebih cepat dgn penambahan kasir. Mie mirip gacoan, makanan lain lumayan, harga standard, es krim enak."
WIZZMIE Banyuwangi,nabilaa 1308,5,Tempat yg bagus bersih nyaman parkir juga luas makanan & minuman enak segar banyak pilihan menu udah yg ksekian kalinya bikin nagih luv dah Poko e🫰😍
