nama_tempat,username,rating,review
Sego Tempong Ratu,Dilaelsa Klby,5,"ga hanya bintang 5 dimakanan, tapi tmpatnya super cutee, lucu, apalagi aku suka bngt pink, pokoknya ga bakal kecewa, cocok buat kaum yang suka makanin igsnya"
Sego Tempong Ratu,N Ekawati,5,"Tempat ini menurutku cocok buat yg mau makan nasi tempong dengan ✨️cantik✨️
Karena tempat nya proper buat santai dan foto2 cantik. Tempat nya bagus, cantik, Full AC, ada colokan jg di bawah kursi, peralatan makan nya jg bagus estetik. Tapi, kalau km kaum mendang mending kaya nya kurang cocok ya. Karena porsi gak sebanyak di kaki 5, harga jg sudah jelas lebih mahal, sambel nya juga kurang ""tempong"" buat yg suka pedes. Jadi ini kembali ke masalah preferensi masing2 aja sih"
Sego Tempong Ratu,Dewi Yuli Indrawati,5,"Pertama kesini bareng temen, untuk makanan enak kebetulan pesen nasi tempong full sayur adaikan asin juga untuk sambal bisa request level pedasnya klo aku gak terlalu suka pedas & lumayan banyak untuk sambalnya. Pelayanan baik, tempat bagus full AC. Menu juga banyak bisa dicoba nih gaes.. Mantap.. 👍👍"
Sego Tempong Ratu,Rahmi Amaliah,5,Tempatnya nyaman full AC dan bersih. Ada live music juga. Pelayanan ramah. Makanan mah kalo disaya yg paling penting sambelnya. Sambel tempongnya pedesnya pas bisa dnikmati. Krn kbiasaan dsulawesi makan pisang goreng pake sambel. Akhirnya minta ekstra sambel yang ternyata free sneng bgt nggak tuh bumil klo ngidam kturutan. Pas datang ksni djam kritis langsg happy.
Sego Tempong Ratu,D I A H,4,Layak makananannya. Pelayannya kurang cekatan dan kurang profesional. Masih kayak bingung. Menu ajja datangnya lama. Padahal datang pas posisi sepi. Untuk tempongnya mantap
Sego Tempong Ratu,Akbar Aghatsy,5,Untuk rasa makanan mantap. Pelayanan cepat dan ramah. Suasana nyaman dengan lantunan musiknya yang sayu² terdengar
Sego Tempong Ratu,asep mustofa,1,"Resto gak jelas, pesanan tempong lama setengah jam lebih"
Sego Tempong Ratu,Rizkita Fitri,5,"Tempatnya bersih, ala2 cewe kue 😅, enak, terjangkau"
Sego Tempong Ratu,Imama Cantik,2,"Sambelnya enak tapii ayam.nya gambar n keras, trllu garing jadi keras
Proses masak trllu lama, 30 mnit baru dihidangkan pdahal lagi tdk ada customer 😌"
Sego Tempong Ratu,Pahlawan Bertopeng,3,"Suasana tempat lokasi perfect banget, cumaaa jangan berharap banyak soal rasa, andai rasa nasi tempongnya lebih masuk pasti ini tempat akan lama, tapi jika masih seperti ini ngak lama,"
Sego Tempong Ratu,Netty Meilina Pardede,3,"gak komen rasa. tapi untuk kategori pesanan dalam jumlah 15-20 orang, pelayanan nya masih sangat lambat. waktu tunggu lebih dari 2 jam masih ada orderan yang tidak diberikan. mungkin bisa ditambah untuk manpowernya."
Sego Tempong Ratu,Alif nur Azizah,5,"First time nyobain sambel tempong khas nya bwi, yaaa harus wajib mampir di ZB resto. Tempat nya didalam ruangan, ber ac, bersih, pelayanan ramah, mbk nya gercep jugak. Baguss deh pokok apalagi makannya juga mantap sambalnya bikin nagihh, susah kalo kangen harus ke bwi nihh"
Sego Tempong Ratu,Tania Nainggolan,3,"pelayanannya LAMBAT. sudah reserve, order by chat hampir satu jam, sampai di lokasi ditungguin 30 menit lebih baru diinfoin menunya kosong. kurang koordinasi. ditambah server-nya bolak balik kebingungan."
Sego Tempong Ratu,Anjani Fatnasari,5,"Nasi tempong estetik, mantap pedas 🌶️"
Sego Tempong Ratu,Rosy Datul widat,5,Tempat nya bersih makanan nya enak skr namanya ganti semula zb resto sego tempong sekarang sego tempong ratu 😍
Sego Tempong Ratu,tasrial syarief,5,"Tempat sangat bersih, pelayanan sangat ramah dengan perhatian yang baik dan sabar. Makanan enak dan waktu tunggu yang cukup cepat. Saya sangat terkesan dengan hanya memjual nasi tempong saja (untuk makanan yang dengan nasi). Semoga sukses terus, karena InSyaaAllah kala ke Banyuwangi saya ingin kasini lagi. Alhamdulillah
🤲🏻🤲🏻🤲🏻🕌🕋🕌🤲🏻🤲🏻🤲🏻"
Sego Tempong Ratu,Babay Rahib,5,"Makanannya enak..
Tempatnya juga enak dengan pelayan yg sangat ramah
Recommended pokoknya 👌👌"
Sego Tempong Ratu,Yudi Setyo Prayogo,5,"Sego Tempongnya mantul...
Tempatnya cozy banget dengan iringan live music..."
Sego Tempong Ratu,Yupies Hermandita,5,Enak
Sego Tempong Ratu,Edwin,5,Mantab
Sego Tempong Ratu,SmaarSit,5,Mantap. Makanan enak. Tempat nyaman & strategis
Sego Tempong Ratu,Ismi nadia,5,Direkomendasikan. Layak dicoba
